norad_id,object_name,intldes,first_tle_date,last_tle_date,n_tle_records,current_periapsis_km,current_apoapsis_km,current_bstar,current_mean_motion,current_mm_dot,launch_periapsis_km,periapsis_delta_km,launch_bstar,bstar_delta,max_consecutive_windows,pct_windows_below_eps,first_excursion_date
53758,,22108B,2022-09-06,2025-12-31,4982,682.5,693.4,0.0004163,14.6162,1.897e-05,694.9,-12.4,0.0,0.0004163,9,0.2,2024-05-11
53925,,22119AR,2022-09-30,2025-12-31,2907,538.8,540.7,2.567e-05,15.0884,1.21e-06,277.1,261.7,-0.0039709,0.00399657,9,0.6,2022-10-11
55470,,23015X,2023-02-10,2025-12-30,2579,558.3,559.9,-3.32e-06,15.0253,-2.48e-06,354.2,204.1,-0.00010664,0.00010332,9,0.9,2023-03-15
60048,,24112L,2024-06-14,2025-12-30,1442,358.7,360.8,8.49e-06,15.6971,4.39e-06,299.1,59.7,-0.0023802,0.00238869,9,1.9,2024-07-02
60398,,24141A,2024-08-14,2025-12-31,1235,359.0,360.7,-2.02e-06,15.6968,-8.33e-06,297.4,61.6,-0.0021499,0.00214788,9,1.7,2024-08-27
61055,,24164F,2024-09-20,2025-12-31,1188,359.1,360.4,8.94e-06,15.6971,4.95e-06,308.7,50.4,-0.0021962,0.00220514,9,2.0,2024-10-02
63558,,25075L,2025-04-18,2025-12-30,637,354.9,357.4,0.0027389,15.7096,0.00368842,293.7,61.3,-0.0026034,0.0053423,9,2.6,2025-05-14
51757,,22016AV,2022-02-25,2025-12-31,3502,538.8,540.6,0.00038006,15.0885,5.767e-05,331.8,207.0,-0.0052368,0.00561686,8,0.5,2022-03-06
52108,,22029W,2022-03-22,2025-12-31,3429,538.7,540.8,8.476e-05,15.0884,1.061e-05,318.0,220.7,-0.0043161,0.00440086,8,0.5,2022-04-02
56668,,22151AGU,2023-05-17,2025-12-28,843,732.4,781.6,0.0016705,14.4046,5.304e-05,765.4,-33.0,0.0012719,0.0003986,8,1.0,2025-03-22
62593,,25008G,2025-01-17,2025-12-31,879,354.4,357.7,0.0018627,15.71,0.00247435,294.5,59.9,-0.0028672,0.0047299,8,2.5,2025-01-27
61577,,24187D,2024-10-24,2025-12-30,1110,359.0,360.5,1.042e-05,15.697,6.74e-06,302.8,56.2,-0.0021569,0.00216732,7,1.7,2024-11-07
49757,,21115AK,2021-12-08,2025-12-31,3709,538.9,540.6,-4.768e-05,15.0884,-1.047e-05,443.9,95.0,-0.00052303,0.00047535,6,0.4,2022-03-14
62851,,25020B,2025-01-29,2025-12-31,434,210.8,33705.0,0.00098142,2.4354,9.718e-05,177.4,33.4,0.0,0.00098142,5,3.7,2025-07-18
54451,,22151GB,2022-12-01,2025-12-31,1901,729.3,834.4,0.0022144,14.3297,6.199e-05,757.3,-28.1,0.00085992,0.00135448,3,0.2,2024-10-07
