# STTS Energy State — NORAD 44929 (STARLINK-1121)
# decay_epoch: 2023-03-09
# mu_nominal: -0.152688
# Markov cells: 20  MC samples: 10000  MC horizon: 10
# Dt=10 windows at training stride=5 TLE records/stride.
# Physical time per MC step is variable: ~2.5 days during active decay,
# ~5 weeks at operational altitude. Dt=10 steps ~ 25 days (decay) to ~1 year (operational).
t,days_to_reentry,M2_cell,H_t,p_t,P_forward,P_forward_ci_lo,P_forward_ci_hi,artifact_flag
776,891.42,3,0.153580,0.0000,0.030500,0.027306,0.034055,0
777,891.08,3,0.150675,0.0000,0.027200,0.024189,0.030574,0
778,890.58,3,0.157651,0.0000,0.032200,0.028916,0.035844,0
779,890.42,3,0.159675,0.0000,0.028100,0.025038,0.031525,0
780,890.08,3,0.161757,0.0000,0.027200,0.024189,0.030574,0
781,889.42,3,0.157626,0.0000,0.029500,0.026360,0.033001,0
782,889.08,3,0.152319,0.0000,0.026300,0.023341,0.029623,0
783,888.42,3,0.154711,0.0000,0.027500,0.024472,0.030891,0
784,888.08,3,0.175913,0.0000,0.027700,0.024660,0.031102,0
785,887.42,3,0.139249,0.0000,0.026400,0.023435,0.029729,0
786,887.08,3,0.137204,0.0000,0.027400,0.024377,0.030786,0
787,886.75,3,0.133820,0.0000,0.029000,0.025888,0.032474,0
788,886.42,3,0.165921,0.0000,0.025600,0.022682,0.028883,0
789,886.08,3,0.173174,0.0000,0.028600,0.025510,0.032052,0
790,885.42,3,0.163876,0.0000,0.028100,0.025038,0.031525,0
791,885.08,3,0.138939,0.0000,0.028900,0.025793,0.032369,0
792,884.42,3,0.152499,0.0000,0.026000,0.023058,0.029306,0
793,884.08,3,0.169014,0.0000,0.029300,0.026171,0.032791,0
794,883.90,3,0.168735,0.0000,0.028500,0.025415,0.031947,0
795,883.83,3,0.177772,0.0000,0.028400,0.025321,0.031841,0
796,883.63,3,0.170814,0.0000,0.030900,0.027684,0.034476,0
797,882.83,3,0.173422,0.0000,0.028800,0.025699,0.032263,0
798,882.77,3,0.164298,0.0000,0.023000,0.020240,0.026126,0
799,882.63,3,0.162559,0.0000,0.028000,0.024943,0.031419,0
800,881.64,3,0.177724,0.0000,0.028900,0.025793,0.032369,0
801,881.44,3,0.180876,0.0000,0.026300,0.023341,0.029623,0
802,880.64,3,0.200635,0.0000,0.029000,0.025888,0.032474,0
803,879.78,3,0.204232,0.0000,0.026900,0.023906,0.030257,0
804,879.45,3,0.207237,0.0000,0.029500,0.026360,0.033001,0
805,878.72,3,0.188604,0.0000,0.027400,0.024377,0.030786,0
806,878.12,3,0.196446,0.0000,0.029000,0.025888,0.032474,0
807,877.72,3,0.194998,0.0000,0.026600,0.023623,0.029940,0
808,877.12,3,0.184932,0.0000,0.031100,0.027874,0.034686,0
809,876.53,3,0.195633,0.0000,0.029900,0.026738,0.033423,0
810,876.53,3,0.188731,0.0000,0.028700,0.025604,0.032158,0
811,875.93,3,0.197452,0.0000,0.025900,0.022964,0.029200,0
812,875.53,3,0.191837,0.0000,0.025900,0.022964,0.029200,0
813,875.07,3,0.209293,0.0000,0.028000,0.024943,0.031419,0
814,874.73,3,0.219256,0.0000,0.029200,0.026076,0.032685,0
815,874.14,3,0.221726,0.0000,0.028400,0.025321,0.031841,0
816,873.87,3,0.207480,0.0000,0.029700,0.026549,0.033212,0
817,873.54,3,0.197591,0.0000,0.029400,0.026265,0.032896,0
818,872.81,3,0.171508,0.0000,0.027400,0.024377,0.030786,0
819,872.54,3,0.182497,0.0000,0.027400,0.024377,0.030786,0
820,872.08,3,0.169119,0.0000,0.030100,0.026927,0.033634,0
821,871.81,3,0.162501,0.0000,0.028500,0.025415,0.031947,0
822,871.08,3,0.163709,0.0000,0.029100,0.025982,0.032580,0
823,870.82,3,0.151054,0.0000,0.031400,0.028158,0.035002,0
824,870.62,3,0.146796,0.0000,0.024700,0.021836,0.027930,0
825,870.15,3,0.146575,0.0000,0.027600,0.024566,0.030997,0
826,869.62,3,0.144794,0.0000,0.029800,0.026644,0.033318,0
827,869.09,3,0.168635,0.0000,0.029000,0.025888,0.032474,0
828,868.83,3,0.173328,0.0000,0.028100,0.025038,0.031525,0
829,867.57,3,0.175257,0.0000,0.027000,0.024000,0.030363,0
830,867.17,3,0.176850,0.0000,0.028300,0.025226,0.031736,0
831,866.97,3,0.156904,0.0000,0.030000,0.026833,0.033528,0
832,866.90,3,0.160374,0.0000,0.026800,0.023812,0.030152,0
833,866.10,3,0.160952,0.0000,0.028800,0.025699,0.032263,0
834,865.91,3,0.164807,0.0000,0.029400,0.026265,0.032896,0
835,865.11,3,0.104900,0.0000,0.027400,0.024377,0.030786,0
836,864.91,3,0.127430,0.0000,0.029400,0.026265,0.032896,0
837,864.71,3,0.150820,0.0000,0.028500,0.025415,0.031947,0
838,864.11,3,0.171326,0.0000,0.028800,0.025699,0.032263,0
839,863.72,3,0.177411,0.0000,0.026900,0.023906,0.030257,0
840,863.18,3,0.181573,0.0000,0.029800,0.026644,0.033318,0
841,862.45,3,0.195389,0.0000,0.025300,0.022400,0.028565,0
842,862.12,3,0.199492,0.0000,0.027900,0.024849,0.031314,0
843,861.72,3,0.200622,0.0000,0.026500,0.023529,0.029835,0
844,861.06,3,0.196949,0.0000,0.030600,0.027400,0.034160,0
845,860.73,3,0.201230,0.0000,0.031800,0.028537,0.035423,0
846,860.20,3,0.206042,0.0000,0.027100,0.024094,0.030469,0
847,860.00,3,0.206115,0.0000,0.031000,0.027779,0.034581,0
848,859.20,3,0.203980,0.0000,0.027700,0.024660,0.031102,0
849,858.47,3,0.171176,0.0000,0.029500,0.026360,0.033001,0
850,858.21,3,0.156646,0.0000,0.030500,0.027306,0.034055,0
851,857.54,3,0.139908,0.0000,0.027300,0.024283,0.030680,0
852,857.28,3,0.136186,0.0000,0.028200,0.025132,0.031630,0
853,857.08,3,0.140632,0.0000,0.026900,0.023906,0.030257,0
854,856.55,3,0.124091,0.0000,0.029800,0.026644,0.033318,0
855,856.21,3,0.119386,0.0000,0.028600,0.025510,0.032052,0
856,856.01,3,0.102351,0.0000,0.028700,0.025604,0.032158,0
857,855.82,3,0.113391,0.0000,0.026600,0.023623,0.029940,0
858,855.28,3,0.107194,0.0000,0.028300,0.025226,0.031736,0
859,854.55,3,0.100506,0.0000,0.026900,0.023906,0.030257,0
860,854.42,3,0.097299,0.0000,0.026800,0.023812,0.030152,0
861,854.09,3,0.202489,0.0000,0.028600,0.025510,0.032052,0
862,853.56,3,0.201218,0.0000,0.028600,0.025510,0.032052,0
863,853.16,3,0.195028,0.0000,0.029400,0.026265,0.032896,0
864,852.56,3,0.189322,0.0000,0.029600,0.026455,0.033107,0
865,852.30,3,0.191712,0.0000,0.029500,0.026360,0.033001,0
866,851.57,3,0.200753,0.0000,0.028000,0.024943,0.031419,0
867,851.24,3,0.197093,0.0000,0.029000,0.025888,0.032474,0
868,848.25,3,0.201536,0.0000,0.025600,0.022682,0.028883,0
869,847.39,3,0.202555,0.0000,0.029200,0.026076,0.032685,0
870,846.79,3,0.188954,0.0000,0.028400,0.025321,0.031841,0
871,845.39,3,0.187925,0.0000,0.028900,0.025793,0.032369,0
872,844.93,3,0.186648,0.0000,0.025700,0.022776,0.028988,0
873,844.40,3,0.185855,0.0000,0.027200,0.024189,0.030574,0
874,843.47,3,0.185673,0.0000,0.029000,0.025888,0.032474,0
875,843.34,3,0.184735,0.0000,0.024600,0.021742,0.027824,0
876,842.47,3,0.188134,0.0000,0.027700,0.024660,0.031102,0
877,842.34,3,0.197297,0.0000,0.030200,0.027022,0.033739,0
878,842.34,3,0.192325,0.0000,0.026800,0.023812,0.030152,0
879,841.54,3,0.204316,0.0000,0.030700,0.027495,0.034265,0
880,841.48,3,0.207967,0.0000,0.027700,0.024660,0.031102,0
881,840.48,3,0.193522,0.0000,0.029700,0.026549,0.033212,0
882,840.08,3,0.207735,0.0000,0.029100,0.025982,0.032580,0
883,839.49,3,0.177748,0.0000,0.029100,0.025982,0.032580,0
884,839.09,3,0.180052,0.0000,0.029300,0.026171,0.032791,0
885,838.82,3,0.180161,0.0000,0.030400,0.027211,0.033950,0
886,838.76,3,0.180293,0.0000,0.027900,0.024849,0.031314,0
887,838.42,3,0.177978,0.0000,0.025800,0.022870,0.029094,0
888,838.03,3,0.165326,0.0000,0.028800,0.025699,0.032263,0
889,837.56,3,0.174935,0.0000,0.028400,0.025321,0.031841,0
890,837.10,3,0.177718,0.0000,0.030700,0.027495,0.034265,0
891,836.76,3,0.174520,0.0000,0.030800,0.027590,0.034371,0
892,836.10,3,0.188844,0.0000,0.024300,0.021460,0.027506,0
893,835.44,3,0.192397,0.0000,0.028200,0.025132,0.031630,0
894,835.04,3,0.179178,0.0000,0.027900,0.024849,0.031314,0
895,834.51,3,0.163068,0.0000,0.029500,0.026360,0.033001,0
896,834.44,3,0.165676,0.0000,0.029600,0.026455,0.033107,0
897,834.17,3,0.169752,0.0000,0.028300,0.025226,0.031736,0
898,833.51,3,0.168759,0.0000,0.027400,0.024377,0.030786,0
899,833.18,3,0.168675,0.0000,0.030600,0.027400,0.034160,0
900,832.58,3,0.218554,0.0000,0.029500,0.026360,0.033001,0
901,832.52,3,0.197359,0.0000,0.027100,0.024094,0.030469,0
902,832.18,3,0.196296,0.0000,0.028300,0.025226,0.031736,0
903,831.52,3,0.196886,0.0000,0.026500,0.023529,0.029835,0
904,830.92,3,0.198690,0.0000,0.024300,0.021460,0.027506,0
905,830.52,3,0.200959,0.0000,0.024900,0.022024,0.028141,0
906,830.19,3,0.189385,0.0000,0.028400,0.025321,0.031841,0
907,829.46,3,0.190968,0.0000,0.027500,0.024472,0.030891,0
908,828.93,3,0.195493,0.0000,0.028400,0.025321,0.031841,0
909,828.47,3,0.192427,0.0000,0.029300,0.026171,0.032791,0
910,828.27,3,0.190599,0.0000,0.029200,0.026076,0.032685,0
911,827.54,3,0.182801,0.0000,0.028700,0.025604,0.032158,0
912,827.27,3,0.184072,0.0000,0.028000,0.024943,0.031419,0
913,826.81,3,0.174341,0.0000,0.029100,0.025982,0.032580,0
914,826.28,3,0.163772,0.0000,0.027500,0.024472,0.030891,0
915,826.28,3,0.167239,0.0000,0.028200,0.025132,0.031630,0
916,825.94,3,0.164289,0.0000,0.028400,0.025321,0.031841,0
917,825.61,3,0.171772,0.0000,0.030500,0.027306,0.034055,0
918,825.28,3,0.166160,0.0000,0.027300,0.024283,0.030680,0
919,824.62,3,0.147262,0.0000,0.028800,0.025699,0.032263,0
920,824.62,3,0.128212,0.0000,0.028100,0.025038,0.031525,0
921,823.89,3,0.113720,0.0000,0.025300,0.022400,0.028565,0
922,823.62,3,0.145858,0.0000,0.028600,0.025510,0.032052,0
923,823.62,3,0.177166,0.0000,0.027900,0.024849,0.031314,0
924,822.76,3,0.202556,0.0000,0.028100,0.025038,0.031525,0
925,822.62,3,0.211784,0.0000,0.029600,0.026455,0.033107,0
926,822.36,3,0.211457,0.0000,0.030000,0.026833,0.033528,0
927,822.09,3,0.215019,0.0000,0.029800,0.026644,0.033318,0
928,821.83,3,0.213226,0.0000,0.027500,0.024472,0.030891,0
929,821.76,3,0.212977,0.0000,0.028600,0.025510,0.032052,0
930,821.56,3,0.188610,0.0000,0.028600,0.025510,0.032052,0
931,820.83,3,0.155912,0.0000,0.026400,0.023435,0.029729,0
932,820.70,3,0.154295,0.0000,0.029200,0.026076,0.032685,0
933,820.70,3,0.147437,0.0000,0.028600,0.025510,0.032052,0
934,819.70,3,0.141864,0.0000,0.027500,0.024472,0.030891,0
935,818.91,3,0.128288,0.0000,0.030700,0.027495,0.034265,0
936,818.84,3,0.127361,0.0000,0.030100,0.026927,0.033634,0
937,818.71,3,0.117062,0.0000,0.027600,0.024566,0.030997,0
938,817.84,3,0.088085,0.0000,0.030900,0.027684,0.034476,0
939,817.84,3,0.076035,0.0000,0.028900,0.025793,0.032369,0
940,817.65,3,0.067838,0.0000,0.029000,0.025888,0.032474,0
941,816.85,3,0.076822,0.0000,0.025300,0.022400,0.028565,0
942,816.85,3,0.082619,0.0000,0.027800,0.024755,0.031208,0
943,815.85,3,0.089420,0.0000,0.028700,0.025604,0.032158,0
944,815.65,3,0.094390,0.0000,0.027100,0.024094,0.030469,0
945,815.46,3,0.099500,0.0000,0.027800,0.024755,0.031208,0
946,814.46,3,0.117590,0.0000,0.028400,0.025321,0.031841,0
947,814.26,3,0.117818,0.0000,0.029800,0.026644,0.033318,0
948,813.66,3,0.101566,0.0000,0.028700,0.025604,0.032158,0
949,812.87,3,0.085383,0.0000,0.030400,0.027211,0.033950,0
950,812.73,3,0.072323,0.0000,0.029800,0.026644,0.033318,0
951,811.80,3,0.087587,0.0000,0.028000,0.024943,0.031419,0
952,811.47,3,0.079884,0.0000,0.026900,0.023906,0.030257,0
953,810.94,3,0.075340,0.0000,0.027000,0.024000,0.030363,0
954,810.74,3,0.072202,0.0000,0.030400,0.027211,0.033950,0
955,809.55,17,0.044940,0.0000,0.047100,0.043119,0.051429,0
956,809.55,3,0.057942,0.0000,0.026900,0.023906,0.030257,0
957,809.22,17,0.042118,0.0000,0.045500,0.041587,0.049762,0
958,808.55,17,0.036031,0.0000,0.045900,0.041970,0.050179,0
959,807.89,17,0.023755,0.0000,0.046000,0.042066,0.050283,0
960,807.56,17,0.009666,0.0000,0.042800,0.039005,0.046946,0
961,807.29,17,0.005342,0.0000,0.047100,0.043119,0.051429,0
962,806.56,17,0.004761,0.0000,0.044900,0.041013,0.049137,0
963,806.56,17,0.012017,0.0000,0.041400,0.037668,0.045484,0
964,805.56,17,0.019512,0.0000,0.043800,0.039961,0.047989,0
965,805.03,17,0.030645,0.0000,0.047800,0.043789,0.052158,0
966,804.17,17,0.031054,0.0000,0.046900,0.042927,0.051221,0
967,803.90,17,0.036193,0.0000,0.048300,0.044268,0.052678,0
968,803.64,17,0.030616,0.0000,0.047300,0.043310,0.051637,0
969,803.11,17,0.024201,0.0000,0.045300,0.041396,0.049554,0
970,802.64,17,0.014513,0.0000,0.043700,0.039865,0.047885,0
971,802.64,17,0.016312,0.0000,0.043700,0.039865,0.047885,0
972,802.11,17,0.024327,0.0000,0.045700,0.041778,0.049971,0
973,801.65,17,0.028654,0.0000,0.043100,0.039292,0.047259,0
974,801.18,17,0.033242,0.0000,0.045000,0.041109,0.049241,0
975,800.85,17,0.042554,0.0000,0.044100,0.040248,0.048302,0
976,800.19,17,0.044486,0.0000,0.046600,0.042640,0.050908,0
977,799.99,17,0.049910,0.0000,0.042500,0.038719,0.046633,0
978,799.66,3,0.059089,0.0000,0.028000,0.024943,0.031419,0
979,799.12,3,0.064756,0.0000,0.029800,0.026644,0.033318,0
980,798.93,3,0.077812,0.0000,0.027900,0.024849,0.031314,0
981,798.93,3,0.072685,0.0000,0.031600,0.028347,0.035213,0
982,798.33,17,0.042124,0.0000,0.045100,0.041204,0.049345,0
983,797.73,17,0.040353,0.0000,0.044900,0.041013,0.049137,0
984,797.73,17,0.039935,0.0000,0.049700,0.045611,0.054135,0
985,797.13,17,0.035429,0.0000,0.044600,0.040726,0.048824,0
986,797.07,17,0.029980,0.0000,0.043800,0.039961,0.047989,0
987,796.14,17,0.045242,0.0000,0.044900,0.041013,0.049137,0
988,796.07,3,0.065300,0.0000,0.026500,0.023529,0.029835,0
989,795.74,3,0.078366,0.0000,0.029500,0.026360,0.033001,0
990,795.14,3,0.087124,0.0000,0.026100,0.023152,0.029412,0
991,794.94,3,0.102687,0.0000,0.025600,0.022682,0.028883,0
992,794.48,3,0.094750,0.0000,0.030400,0.027211,0.033950,0
993,794.15,3,0.092486,0.0000,0.028300,0.025226,0.031736,0
994,793.55,3,0.067102,0.0000,0.029800,0.026644,0.033318,0
995,793.42,17,0.008398,0.0000,0.047000,0.043023,0.051325,0
996,793.02,17,0.033127,0.0000,0.042500,0.038719,0.046633,0
997,792.22,17,0.011042,0.0000,0.046000,0.042066,0.050283,0
998,792.09,17,0.003402,0.0000,0.043200,0.039388,0.047363,0
999,791.49,17,0.010746,0.0000,0.042800,0.039005,0.046946,0
1000,791.09,17,0.009108,0.0000,0.044300,0.040439,0.048511,0
1001,791.03,17,0.058951,0.0000,0.048000,0.043981,0.052366,0
1002,790.50,17,0.069795,0.0000,0.046400,0.042448,0.050700,0
1003,790.10,17,0.093621,0.0000,0.048000,0.043981,0.052366,0
1004,789.83,17,0.129696,0.0000,0.043800,0.039961,0.047989,0
1005,789.83,17,0.152674,0.0000,0.040400,0.036714,0.044439,0
1006,788.84,17,0.164858,0.0000,0.046700,0.042736,0.051012,0
1007,788.17,17,0.081657,0.0000,0.046500,0.042544,0.050804,0
1008,788.17,17,0.018506,0.0000,0.044200,0.040343,0.048407,0
1009,787.57,3,0.060829,0.0000,0.027100,0.024094,0.030469,0
1010,787.31,3,0.123698,0.0000,0.027300,0.024283,0.030680,0
1011,786.45,3,0.169807,0.0000,0.030000,0.026833,0.033528,0
1012,786.31,3,0.196328,0.0000,0.028200,0.025132,0.031630,0
1013,785.58,3,0.201086,0.0000,0.028300,0.025226,0.031736,0
1014,785.38,3,0.202837,0.0000,0.028200,0.025132,0.031630,0
1015,785.32,3,0.194034,0.0000,0.025800,0.022870,0.029094,0
1016,784.59,3,0.180905,0.0000,0.028400,0.025321,0.031841,0
1017,784.32,3,0.165808,0.0000,0.029300,0.026171,0.032791,0
1018,784.32,3,0.155074,0.0000,0.030600,0.027400,0.034160,0
1019,783.46,3,0.140480,0.0000,0.030400,0.027211,0.033950,0
1020,783.26,3,0.124218,0.0000,0.029100,0.025982,0.032580,0
1021,783.26,3,0.130717,0.0000,0.027500,0.024472,0.030891,0
1022,782.40,3,0.110002,0.0000,0.028300,0.025226,0.031736,0
1023,782.20,3,0.106173,0.0000,0.027000,0.024000,0.030363,0
1024,782.20,3,0.104402,0.0000,0.026900,0.023906,0.030257,0
1025,781.47,3,0.098707,0.0000,0.027600,0.024566,0.030997,0
1026,781.20,3,0.097056,0.0000,0.028400,0.025321,0.031841,0
1027,780.47,3,0.108002,0.0000,0.027200,0.024189,0.030574,0
1028,780.41,3,0.119242,0.0000,0.027100,0.024094,0.030469,0
1029,780.27,3,0.129558,0.0000,0.026800,0.023812,0.030152,0
1030,779.67,3,0.132945,0.0000,0.031000,0.027779,0.034581,0
1031,779.28,3,0.138893,0.0000,0.025900,0.022964,0.029200,0
1032,779.28,3,0.132921,0.0000,0.029400,0.026265,0.032896,0
1033,778.41,3,0.110569,0.0000,0.029200,0.026076,0.032685,0
1034,778.35,3,0.083510,0.0000,0.026800,0.023812,0.030152,0
1035,777.48,17,0.040429,0.0000,0.043600,0.039770,0.047781,0
1036,777.48,17,0.014577,0.0000,0.045500,0.041587,0.049762,0
1037,777.42,17,0.022684,0.0000,0.044900,0.041013,0.049137,0
1038,776.55,17,0.033537,0.0000,0.044200,0.040343,0.048407,0
1039,776.49,17,0.029625,0.0000,0.043000,0.039196,0.047155,0
1040,776.49,17,0.030241,0.0000,0.043300,0.039483,0.047468,0
1041,775.49,17,0.021408,0.0000,0.049700,0.045611,0.054135,0
1042,775.03,17,0.017443,0.0000,0.047800,0.043789,0.052158,0
1043,774.50,17,0.013628,0.0000,0.043600,0.039770,0.047781,0
1044,774.36,17,0.013160,0.0000,0.045200,0.041300,0.049449,0
1045,773.50,17,0.006890,0.0000,0.043800,0.039961,0.047989,0
1046,773.43,17,0.003669,0.0000,0.045500,0.041587,0.049762,0
1047,773.10,17,0.000093,0.0000,0.047300,0.043310,0.051637,0
1048,772.51,17,0.001713,0.0000,0.048100,0.044077,0.052470,0
1049,772.44,17,0.002641,0.0000,0.046800,0.042831,0.051117,0
1050,772.11,17,0.003867,0.0000,0.049900,0.045802,0.054343,0
1051,771.51,17,0.005331,0.0000,0.046600,0.042640,0.050908,0
1052,770.85,17,0.006803,0.0000,0.041600,0.037859,0.045693,0
1053,770.51,3,0.093996,0.0000,0.026500,0.023529,0.029835,0
1054,770.12,3,0.091204,0.0000,0.029800,0.026644,0.033318,0
1055,769.58,3,0.090589,0.0000,0.028700,0.025604,0.032158,0
1056,769.45,3,0.094077,0.0000,0.028900,0.025793,0.032369,0
1057,768.59,3,0.094777,0.0000,0.027900,0.024849,0.031314,0
1058,767.86,3,0.099261,0.0000,0.029100,0.025982,0.032580,0
1059,767.46,3,0.101861,0.0000,0.028600,0.025510,0.032052,0
1060,766.40,3,0.105146,0.0000,0.026700,0.023718,0.030046,0
1061,765.80,3,0.109055,0.0000,0.029100,0.025982,0.032580,0
1062,765.54,3,0.112422,0.0000,0.026700,0.023718,0.030046,0
1063,764.67,3,0.166521,0.0000,0.028800,0.025699,0.032263,0
1064,764.41,3,0.205951,0.0000,0.029400,0.026265,0.032896,0
1065,764.41,3,0.207184,0.0000,0.028900,0.025793,0.032369,0
1066,763.94,3,0.175766,0.0000,0.025800,0.022870,0.029094,0
1067,763.48,3,0.122912,0.0000,0.026900,0.023906,0.030257,0
1068,763.48,5,1.180928,0.0000,0.160500,0.153436,0.167825,0
1069,763.21,11,1.018554,0.0000,0.228700,0.220573,0.237035,0
1070,763.21,5,0.907189,0.0000,0.155800,0.148824,0.163040,0
1071,762.88,11,1.108558,0.0000,0.231800,0.223633,0.240173,0
1072,762.55,11,1.163971,0.0000,0.237300,0.229063,0.245738,0
1073,762.55,11,1.231962,0.0000,0.233700,0.225509,0.242096,0
1074,761.82,11,1.275877,0.2000,0.229300,0.221165,0.237643,0
1075,761.69,11,1.296363,0.0000,0.230600,0.222449,0.238958,0
1076,760.96,11,1.310493,0.0000,0.224600,0.216527,0.232884,0
1077,760.69,11,1.317096,0.0000,0.235600,0.227385,0.244018,0
1078,760.29,11,1.228932,0.0000,0.223800,0.215738,0.232074,0
1079,760.29,11,1.204753,0.2000,0.236200,0.227977,0.244625,0
1080,759.83,11,1.198954,0.0000,0.228200,0.220080,0.236529,0
1081,759.70,11,1.185812,0.0000,0.221600,0.213567,0.229846,0
1082,759.23,11,1.166475,0.0000,0.227100,0.218994,0.235415,0
1083,758.63,11,1.082166,0.0000,0.231300,0.223140,0.239667,0
1084,758.63,11,1.137617,0.0000,0.229600,0.221461,0.237946,0
1085,758.24,11,1.048251,0.0000,0.230800,0.222646,0.239161,0
1086,758.24,11,0.998337,0.0000,0.223200,0.215146,0.231467,0
1087,757.90,5,0.938632,0.0000,0.150300,0.143430,0.157439,0
1088,757.64,5,0.871690,0.0000,0.151000,0.144116,0.158152,0
1089,757.64,5,0.782547,0.0000,0.153500,0.146568,0.160698,0
1090,757.24,5,0.672612,0.0000,0.165200,0.158050,0.172607,0
1091,757.04,5,0.549057,0.0000,0.160200,0.153142,0.167519,0
1092,756.78,9,0.418810,0.0000,0.092500,0.086977,0.098336,0
1093,756.64,9,0.423417,0.0000,0.093200,0.087657,0.099055,0
1094,756.64,5,0.507813,0.0000,0.155000,0.148039,0.162226,0
1095,756.11,9,0.300154,0.0000,0.095200,0.089602,0.101109,0
1096,755.78,9,0.225850,0.0000,0.095400,0.089797,0.101314,0
1097,755.58,17,0.129631,0.0000,0.042200,0.038432,0.046319,0
1098,755.45,17,0.074466,0.0000,0.043400,0.039579,0.047572,0
1099,755.18,17,0.021349,0.0000,0.041800,0.038050,0.045902,0
1100,755.05,3,0.118593,0.0000,0.027500,0.024472,0.030891,0
1101,754.65,3,0.183709,0.0000,0.025900,0.022964,0.029200,0
1102,754.65,3,0.171418,0.0000,0.027400,0.024377,0.030786,0
1103,754.39,3,0.106039,0.0000,0.028000,0.024943,0.031419,0
1104,754.06,3,0.103720,0.0000,0.028500,0.025415,0.031947,0
1105,754.06,3,0.125701,0.0000,0.026400,0.023435,0.029729,0
1106,753.73,3,0.135033,0.0000,0.026400,0.023435,0.029729,0
1107,753.73,3,0.114066,0.0000,0.024000,0.021178,0.027188,0
1108,753.33,3,0.145754,0.0000,0.028500,0.025415,0.031947,0
1109,753.33,3,0.148607,0.0000,0.026400,0.023435,0.029729,0
1110,752.93,3,0.136156,0.0000,0.028600,0.025510,0.032052,0
1111,752.66,3,0.148319,0.0000,0.029400,0.026265,0.032896,0
1112,752.66,3,0.150572,0.0000,0.029800,0.026644,0.033318,0
1113,752.20,3,0.153757,0.0000,0.025600,0.022682,0.028883,0
1114,752.13,3,0.164969,0.0000,0.027500,0.024472,0.030891,0
1115,752.00,3,0.158805,0.0000,0.033300,0.029959,0.037000,0
1116,751.73,3,0.164243,0.0000,0.029100,0.025982,0.032580,0
1117,751.40,3,0.164038,0.0000,0.027600,0.024566,0.030997,0
1118,751.14,3,0.160577,0.0000,0.024800,0.021930,0.028035,0
1119,751.14,3,0.157935,0.0000,0.027600,0.024566,0.030997,0
1120,750.74,3,0.155295,0.0000,0.028300,0.025226,0.031736,0
1121,750.41,3,0.162332,0.0000,0.025400,0.022494,0.028671,0
1122,749.74,3,0.149610,0.0000,0.025400,0.022494,0.028671,0
1123,749.08,3,0.162540,0.0000,0.030600,0.027400,0.034160,0
1124,748.75,3,0.174511,0.0000,0.026700,0.023718,0.030046,0
1125,748.15,3,0.185221,0.0000,0.030700,0.027495,0.034265,0
1126,747.82,3,0.180118,0.0000,0.029100,0.025982,0.032580,0
1127,747.75,3,0.143559,0.0000,0.029100,0.025982,0.032580,0
1128,746.76,3,0.144798,0.0000,0.027800,0.024755,0.031208,0
1129,746.49,3,0.127429,0.0000,0.028100,0.025038,0.031525,0
1130,746.16,3,0.122510,0.0000,0.029500,0.026360,0.033001,0
1131,745.50,3,0.113042,0.0000,0.030100,0.026927,0.033634,0
1132,745.50,3,0.109068,0.0000,0.029700,0.026549,0.033212,0
1133,745.23,3,0.063612,0.0000,0.027900,0.024849,0.031314,0
1134,744.50,17,0.038926,0.0000,0.048800,0.044748,0.053199,0
1135,744.50,17,0.035469,0.0000,0.044300,0.040439,0.048511,0
1136,744.24,17,0.045581,0.0000,0.046700,0.042736,0.051012,0
1137,743.51,3,0.075654,0.0000,0.028300,0.025226,0.031736,0
1138,743.51,17,0.052125,0.0000,0.045600,0.041683,0.049866,0
1139,743.37,3,0.113413,0.0000,0.025900,0.022964,0.029200,0
1140,742.84,3,0.075025,0.0000,0.025300,0.022400,0.028565,0
1141,742.84,17,0.026893,0.0000,0.046000,0.042066,0.050283,0
1142,741.58,17,0.072341,0.0000,0.046900,0.042927,0.051221,0
1143,741.58,17,0.065462,0.0000,0.044500,0.040630,0.048720,0
1144,741.25,17,0.063968,0.0000,0.044000,0.040152,0.048198,0
1145,741.25,17,0.056144,0.0000,0.046300,0.042353,0.050596,0
1146,740.59,9,0.254382,0.0000,0.096900,0.091256,0.102854,0
1147,740.06,9,0.219056,0.0000,0.096400,0.090769,0.102341,0
1148,739.86,17,0.124862,0.0000,0.047700,0.043694,0.052054,0
1149,739.59,3,0.222808,0.0000,0.028600,0.025510,0.032052,0
1150,739.26,3,0.195308,0.0000,0.028000,0.024943,0.031419,0
1151,738.60,3,0.179285,0.0000,0.028600,0.025510,0.032052,0
1152,738.60,3,0.192592,0.0000,0.026300,0.023341,0.029623,0
1153,738.33,3,0.161550,0.0000,0.032100,0.028821,0.035738,0
1154,737.54,3,0.148117,0.0000,0.028600,0.025510,0.032052,0
1155,737.54,3,0.138289,0.0000,0.028300,0.025226,0.031736,0
1156,737.14,3,0.130842,0.0000,0.029300,0.026171,0.032791,0
1157,737.07,3,0.117791,0.0000,0.026200,0.023247,0.029517,0
1158,736.28,3,0.117131,0.0000,0.025200,0.022306,0.028459,0
1159,736.28,3,0.117204,0.0000,0.029100,0.025982,0.032580,0
1160,736.01,3,0.115907,0.0000,0.025500,0.022588,0.028777,0
1161,736.01,3,0.123716,0.0000,0.028500,0.025415,0.031947,0
1162,735.28,3,0.127283,0.0000,0.029400,0.026265,0.032896,0
1163,734.55,3,0.138543,0.0000,0.025700,0.022776,0.028988,0
