t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,334.50,0,0.463159,0.0000,0.021500,0
1,334.42,0,0.599125,0.0000,0.023000,0
2,334.08,19,0.921980,0.0000,0.023800,0
3,333.83,19,1.082574,0.0000,0.021900,0
4,333.58,12,1.519118,0.0000,0.042900,0
5,333.42,12,1.546955,0.0000,0.041700,0
6,333.08,12,1.803348,0.0000,0.045900,0
7,332.83,12,2.058102,0.0000,0.043000,0
8,332.42,8,2.488422,0.0000,0.053400,0
9,332.17,8,2.645482,0.0000,0.052100,0
10,332.08,8,2.838162,0.0000,0.050900,0
11,331.58,8,3.160125,0.0000,0.053700,0
12,331.42,8,3.312447,0.0000,0.050700,0
13,331.25,8,3.421146,0.0000,0.051400,0
14,330.83,8,3.610402,0.0000,0.054800,0
15,330.42,8,3.674455,0.0000,0.053200,0
16,330.17,8,3.414815,0.0000,0.054000,0
17,330.08,8,3.057469,0.0000,0.051000,0
18,329.42,8,3.023022,0.0000,0.052800,0
19,329.08,8,3.121944,0.0000,0.054100,0
20,328.83,8,3.416262,0.0000,0.052800,0
21,328.42,8,3.034822,0.0000,0.053900,0
22,328.17,8,2.631926,0.0000,0.050000,0
23,328.08,12,2.350392,0.0000,0.041300,0
24,327.83,12,2.058310,0.0000,0.043300,0
25,327.50,12,1.808568,0.0000,0.043700,0
26,327.42,12,1.596198,0.0000,0.041800,0
27,327.17,12,1.401047,0.0000,0.043000,0
28,327.08,19,1.220741,0.2000,0.019700,0
29,326.42,19,1.071179,0.0000,0.022500,0
30,326.33,19,0.861654,0.0000,0.019900,0
31,326.08,19,0.690262,0.0000,0.019300,0
32,325.50,0,0.522126,0.0000,0.017800,0
33,325.42,3,0.286201,0.0000,0.024400,0
34,325.16,17,0.076580,0.0000,0.045500,0
35,324.83,9,0.395367,0.2000,0.092800,0
36,324.50,5,0.654957,0.0000,0.157800,0
37,324.42,5,0.831161,0.0000,0.160800,0
38,324.17,11,1.005926,0.0000,0.230900,0
39,324.08,11,1.162439,0.0000,0.231300,0
40,323.83,11,1.198079,0.0000,0.224600,0
41,323.42,11,1.253617,0.2000,0.227600,0
42,323.17,11,1.292480,0.0000,0.231400,0
43,323.08,11,1.249558,0.0000,0.233000,0
44,322.42,11,1.170737,0.0000,0.235100,0
45,322.08,11,1.100118,0.0000,0.231600,0
46,321.50,11,1.032551,0.0000,0.234400,0
47,321.17,5,0.826383,0.0000,0.155700,0
48,320.42,5,0.686142,0.0000,0.159700,0
49,320.08,9,0.410334,0.0000,0.095900,0
50,319.50,9,0.342759,0.0000,0.095400,0
51,319.42,9,0.313364,0.0000,0.090700,0
52,319.17,9,0.294627,0.0000,0.095000,0
53,319.08,9,0.230806,0.0000,0.088800,0
54,318.50,9,0.218308,0.0000,0.095000,0
55,318.42,9,0.217245,0.0000,0.095900,0
56,318.08,9,0.217004,0.0000,0.097600,0
57,317.42,9,0.220241,0.2000,0.091300,0
58,317.08,9,0.224506,0.0000,0.098900,0
59,316.83,9,0.215170,0.0000,0.096700,0
60,316.50,9,0.220633,0.0000,0.090600,0
61,316.42,9,0.229416,0.0000,0.095400,0
62,316.17,9,0.312771,0.0000,0.096000,0
63,316.08,9,0.231519,0.0000,0.093100,0
64,315.50,9,0.214339,0.0000,0.092100,0
65,315.42,9,0.246016,0.0000,0.095400,0
66,315.08,9,0.239254,0.0000,0.092700,0
67,314.80,9,0.235473,0.0000,0.092900,0
68,314.08,9,0.277081,0.0000,0.094500,0
69,313.83,9,0.312722,0.0000,0.092600,0
70,313.75,9,0.351814,0.0000,0.095000,0
71,313.17,9,0.357085,0.0000,0.093700,0
72,313.08,9,0.386639,0.0000,0.095500,0
73,312.42,9,0.418555,0.0000,0.095200,0
74,312.25,9,0.415983,0.0000,0.093700,0
75,312.08,9,0.452493,0.0000,0.092000,0
76,311.83,9,0.458479,0.2000,0.091300,0
77,311.50,9,0.476987,0.0000,0.093200,0
78,311.42,9,0.478595,0.0000,0.089100,0
79,311.17,9,0.460095,0.0000,0.092700,0
80,310.83,9,0.460336,0.0000,0.093600,0
81,310.39,9,0.344283,0.0000,0.092400,0
82,309.42,9,0.345040,0.0000,0.094000,0
83,309.08,9,0.310902,0.0000,0.094600,0
84,308.50,9,0.394896,0.0000,0.091800,0
85,308.42,9,0.382309,0.2000,0.096200,0
86,308.17,9,0.381643,0.0000,0.091300,0
87,308.08,9,0.379037,0.0000,0.092200,0
88,307.50,9,0.389057,0.0000,0.090900,0
89,307.42,9,0.435259,0.0000,0.088200,0
90,307.08,9,0.408346,0.0000,0.095800,0
91,306.42,9,0.393689,0.0000,0.097900,0
92,306.08,9,0.272123,0.0000,0.096700,0
93,305.83,9,0.247852,0.0000,0.093900,0
94,305.42,9,0.243395,0.0000,0.092900,0
95,305.17,9,0.235066,0.0000,0.095700,0
96,305.08,9,0.231952,0.0000,0.095000,0
97,304.50,9,0.248184,0.0000,0.089600,0
98,304.42,9,0.242200,0.0000,0.095600,0
99,304.17,9,0.235649,0.0000,0.095700,0
100,303.75,9,0.237032,0.0000,0.097200,0
101,303.50,9,0.227623,0.0000,0.099100,0
102,303.08,9,0.222201,0.0000,0.092300,0
103,302.83,9,0.201268,0.0000,0.096100,0
104,302.42,17,0.167135,0.0000,0.046200,0
105,302.08,9,0.177565,0.0000,0.093900,0
106,301.83,17,0.120438,0.0000,0.043400,0
107,301.75,17,0.123012,0.0000,0.047100,0
108,301.08,17,0.123469,0.0000,0.047900,0
109,300.42,17,0.120353,0.0000,0.047600,0
110,300.08,17,0.088199,0.0000,0.044600,0
111,299.75,17,0.121934,0.0000,0.048700,0
112,299.50,17,0.112121,0.0000,0.045600,0
113,299.17,17,0.134862,0.0000,0.048600,0
114,298.83,17,0.041146,0.0000,0.046600,0
115,298.42,17,0.033775,0.0000,0.047600,0
116,298.17,17,0.113798,0.0000,0.043100,0
117,298.08,9,0.275793,0.0000,0.086200,0
118,297.83,9,0.263230,0.0000,0.093700,0
119,297.42,9,0.232367,0.0000,0.097300,0
120,297.08,9,0.262914,0.0000,0.097500,0
121,296.83,9,0.278097,0.0000,0.092900,0
122,296.75,9,0.277528,0.0000,0.091000,0
123,296.17,9,0.262858,0.0000,0.095900,0
124,296.08,9,0.260168,0.0000,0.091700,0
125,295.50,9,0.271464,0.0000,0.096200,0
126,295.42,9,0.283384,0.0000,0.090900,0
127,295.08,9,0.274284,0.0000,0.093200,0
128,294.83,9,0.276674,0.2000,0.096700,0
129,294.42,9,0.305409,0.0000,0.094400,0
130,294.17,9,0.277530,0.0000,0.097600,0
131,294.08,9,0.237366,0.0000,0.093000,0
132,293.50,9,0.213540,0.0000,0.096200,0
133,293.42,9,0.212059,0.0000,0.095200,0
134,293.08,9,0.227503,0.0000,0.087300,0
135,292.42,9,0.247324,0.0000,0.094500,0
136,292.17,9,0.250787,0.0000,0.092800,0
137,291.67,9,0.251872,0.0000,0.097600,0
138,291.42,9,0.269461,0.0000,0.091600,0
139,291.08,9,0.270281,0.0000,0.096300,0
