t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,433.95,2,2.588451,0.4000,0.393800,0
1,433.75,2,2.733298,0.4000,0.402000,0
2,433.15,2,2.317893,0.0000,0.396500,0
3,432.89,2,2.042234,0.4000,0.401700,0
4,432.16,11,1.578169,0.0000,0.231500,0
5,431.89,11,1.384800,0.2000,0.228400,0
6,430.17,11,1.145404,0.0000,0.231200,0
7,430.10,11,1.005969,0.0000,0.237200,0
8,429.83,5,0.935890,0.0000,0.156500,0
9,429.77,5,0.663009,0.0000,0.157400,0
10,429.10,5,0.536300,0.0000,0.160100,0
11,428.84,5,0.608358,0.0000,0.158800,0
12,428.17,5,0.726163,0.0000,0.154400,0
13,428.11,5,0.795041,0.0000,0.159400,0
14,427.18,5,0.826090,0.0000,0.157900,0
15,427.11,5,0.805585,0.0000,0.159400,0
16,426.18,5,0.768459,0.0000,0.156900,0
17,426.18,5,0.808592,0.0000,0.160600,0
18,425.39,5,0.812815,0.0000,0.161400,0
19,424.99,5,0.826365,0.0000,0.156100,0
20,423.46,11,0.965126,0.0000,0.233900,0
21,423.46,11,1.033325,0.0000,0.228900,0
22,422.00,11,1.010351,0.0000,0.237100,0
23,421.20,11,1.031310,0.0000,0.241500,0
24,420.47,11,1.004747,0.2000,0.225300,0
25,420.21,11,0.991928,0.0000,0.230100,0
26,419.28,11,1.002753,0.0000,0.228300,0
27,419.01,11,1.018745,0.0000,0.224700,0
28,418.15,11,0.963546,0.0000,0.226000,0
29,417.49,5,0.933771,0.0000,0.160400,0
30,417.02,5,0.867500,0.0000,0.160000,0
31,415.23,5,0.771833,0.0000,0.149000,0
32,415.16,5,0.756994,0.0000,0.151800,0
33,414.17,11,0.963726,0.0000,0.231600,0
34,413.11,11,1.078816,0.0000,0.225000,0
35,413.11,11,1.087494,0.0000,0.225500,0
36,412.57,11,1.032298,0.0000,0.229000,0
37,412.11,11,0.952032,0.0000,0.231500,0
38,411.58,5,0.841047,0.2000,0.162000,0
39,411.11,5,0.714695,0.0000,0.155200,0
40,410.12,5,0.688817,0.0000,0.161200,0
41,409.65,5,0.657395,0.0000,0.158000,0
