t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,16.50,2,2.444266,0.4000,0.388500,0
1,16.42,2,2.471264,0.4000,0.396900,0
2,16.08,2,2.526766,0.4000,0.403300,0
3,15.83,2,2.524841,0.4000,0.385500,0
4,15.42,2,2.574482,0.0000,0.399500,0
5,15.17,2,2.612685,0.8000,0.396200,0
6,15.08,2,2.618180,0.6000,0.393800,0
7,14.83,2,2.656295,0.8000,0.399600,0
8,14.50,2,2.682558,0.2000,0.395400,0
9,14.17,2,2.704758,0.6000,0.392000,0
10,14.08,14,2.734301,1.0000,0.593700,0
11,13.83,14,2.767648,0.4000,0.602000,0
12,13.50,14,2.799249,0.8000,0.589400,0
13,13.17,14,2.850139,0.4000,0.601200,0
14,13.08,14,2.884467,1.0000,0.607100,0
15,12.83,14,2.896039,0.2000,0.603700,0
16,12.50,14,2.928894,0.6000,0.602100,0
17,12.42,14,2.989919,1.0000,0.609100,0
18,12.17,14,3.029423,0.4000,0.608100,0
19,12.08,14,3.025871,0.6000,0.600700,0
20,11.83,14,3.054334,0.8000,0.593700,0
21,11.42,14,3.060012,0.6000,0.609600,0
22,11.17,14,3.094053,0.6000,0.596900,0
23,11.08,14,3.093991,0.6000,0.603200,0
24,10.83,14,3.095721,0.6000,0.600600,0
25,10.50,14,3.071662,1.0000,0.605400,0
26,10.42,14,3.020461,0.6000,0.599000,0
27,10.17,14,3.005489,0.6000,0.600800,0
28,10.08,14,2.952888,0.2000,0.604300,0
29,9.83,14,2.890453,0.4000,0.606200,0
30,9.42,14,2.839945,0.8000,0.604100,0
31,9.17,14,2.857741,0.4000,0.606500,0
32,9.08,14,2.872322,0.6000,0.604200,0
33,8.83,14,2.860876,0.4000,0.612300,0
34,8.50,14,2.832101,0.2000,0.597300,0
35,8.42,14,2.892387,0.2000,0.605600,0
36,8.17,14,2.964999,0.8000,0.597200,0
37,8.08,14,2.925923,0.2000,0.598600,0
38,7.83,14,2.922710,0.0000,0.605300,0
39,7.50,14,2.957518,0.6000,0.599700,0
40,7.42,14,2.995016,0.4000,0.601200,0
41,7.17,14,3.041414,0.6000,0.599500,0
42,7.08,14,3.016631,0.4000,0.604000,0
43,6.83,14,3.041849,0.8000,0.608500,0
44,6.83,14,3.045429,0.4000,0.604400,0
45,4.25,14,3.803380,0.6000,0.603600,0
46,3.81,6,4.475600,0.4000,0.775800,0
47,3.12,6,5.597362,0.8000,0.767000,0
48,2.81,15,6.538996,0.8000,0.859300,0
49,2.67,15,7.092228,0.8000,0.854600,0
50,2.56,15,7.802256,1.0000,0.854700,0
51,2.13,1,8.995040,1.0000,0.895000,0
52,1.94,1,9.862737,1.0000,0.902800,0
53,1.67,1,11.174487,0.8000,0.900000,0
54,1.57,10,12.119795,1.0000,0.894600,0
55,1.51,10,12.976881,1.0000,0.900400,0
56,0.82,4,15.560065,1.0000,0.874900,0
57,0.07,4,21.066139,0.8000,0.880500,0
58,0.02,7,21.849968,1.0000,0.840300,0
