t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,433.50,6,4.609601,0.6000,0.779500,0
1,433.23,6,4.948066,1.0000,0.776500,0
2,431.44,6,4.664533,0.2000,0.777300,0
3,430.25,6,4.590706,0.6000,0.775600,0
4,430.18,14,4.235912,0.6000,0.599800,0
5,429.38,6,4.174075,0.6000,0.768800,0
6,428.92,14,3.859929,0.6000,0.587800,0
7,428.52,14,3.734345,0.8000,0.598500,0
8,427.52,14,3.547456,0.4000,0.606000,0
9,426.33,14,3.204367,0.8000,0.608400,0
10,425.27,2,2.661599,0.2000,0.397700,0
11,424.27,3,2.178095,0.0000,0.032000,0
12,423.81,3,0.185708,0.0000,0.029000,0
13,423.28,3,0.203745,0.0000,0.025900,0
14,422.55,3,0.220093,0.0000,0.028800,0
15,422.35,3,0.232818,0.0000,0.025800,0
16,421.35,3,0.234619,0.0000,0.030000,0
17,420.35,3,0.233925,0.0000,0.026200,0
18,419.82,3,0.174842,0.0000,0.028600,0
19,419.36,3,0.107929,0.0000,0.029000,0
20,418.63,3,0.116157,0.0000,0.029300,0
21,418.36,3,0.117447,0.0000,0.030400,0
22,417.50,3,0.115709,0.0000,0.028700,0
23,416.37,3,0.111324,0.0000,0.029600,0
24,415.44,3,0.106840,0.0000,0.028900,0
25,414.51,3,0.103252,0.0000,0.028600,0
26,413.52,3,0.111118,0.0000,0.026200,0
27,413.38,3,0.121956,0.0000,0.028800,0
28,412.59,3,0.117031,0.0000,0.026300,0
29,412.32,3,0.122486,0.0000,0.025200,0
30,411.46,3,0.121543,0.0000,0.028000,0
31,410.46,3,0.116692,0.0000,0.026800,0
32,409.80,3,0.117476,0.0000,0.030600,0
33,409.60,3,0.120399,0.0000,0.028000,0
34,408.60,3,0.115609,0.0000,0.025400,0
35,407.54,3,0.117472,0.0000,0.028600,0
36,406.08,3,0.118894,0.0000,0.029500,0
37,405.55,3,0.100474,0.0000,0.028000,0
38,404.49,3,0.134564,0.0000,0.028500,0
39,403.49,3,0.144302,0.0000,0.026600,0
40,402.50,3,0.160198,0.0000,0.024900,0
41,400.17,3,0.167048,0.0000,0.026200,0
42,399.18,3,0.173785,0.0000,0.029600,0
43,398.85,3,0.181278,0.0000,0.028700,0
44,398.18,3,0.187936,0.0000,0.030400,0
45,397.72,3,0.195965,0.0000,0.030700,0
46,397.05,3,0.203339,0.0000,0.029700,0
47,396.19,3,0.208580,0.0000,0.024900,0
48,395.26,3,0.213802,0.0000,0.028000,0
49,394.80,3,0.214297,0.0000,0.029900,0
50,394.07,3,0.211385,0.0000,0.026800,0
51,393.20,3,0.206103,0.0000,0.026000,0
52,393.07,3,0.195810,0.0000,0.028200,0
53,392.07,3,0.176936,0.0000,0.029300,0
54,391.87,3,0.153031,0.0000,0.029700,0
55,391.08,3,0.110443,0.0000,0.029100,0
56,390.88,3,0.056763,0.0000,0.027600,0
57,389.82,17,0.010553,0.0000,0.041900,0
58,389.09,17,0.050885,0.0000,0.046500,0
59,388.56,17,0.099460,0.0000,0.047900,0
60,388.09,17,0.142741,0.0000,0.043200,0
61,387.16,9,0.182941,0.0000,0.094700,0
62,387.10,9,0.212523,0.0000,0.094600,0
63,386.23,9,0.236183,0.0000,0.091500,0
64,386.17,9,0.246393,0.0000,0.093900,0
65,385.57,9,0.246244,0.0000,0.096800,0
66,385.17,9,0.239760,0.0000,0.093800,0
67,384.44,9,0.213474,0.0000,0.098300,0
68,384.11,9,0.198707,0.0000,0.099700,0
69,383.97,9,0.185447,0.0000,0.093600,0
70,383.38,17,0.150337,0.0000,0.047700,0
71,382.18,17,0.130466,0.0000,0.044000,0
72,382.12,17,0.112158,0.0000,0.046600,0
73,381.12,17,0.095676,0.0000,0.045300,0
74,380.92,17,0.079904,0.0000,0.043400,0
75,380.12,17,0.066557,0.0000,0.048100,0
76,379.20,17,0.050350,0.0000,0.049100,0
77,379.13,17,0.035299,0.0000,0.046100,0
78,378.13,17,0.022910,0.0000,0.046300,0
79,378.00,17,0.008253,0.0000,0.049600,0
80,377.47,17,0.011710,0.0000,0.045100,0
81,377.00,17,0.037186,0.0000,0.045400,0
82,376.07,3,0.067052,0.0000,0.028600,0
83,375.54,3,0.087387,0.0000,0.030400,0
84,375.15,3,0.102041,0.0000,0.026300,0
85,374.15,3,0.104614,0.0000,0.027400,0
86,374.08,3,0.113822,0.0000,0.026500,0
87,373.09,3,0.127637,0.0000,0.028000,0
88,372.16,3,0.148988,0.0000,0.028600,0
89,372.09,3,0.164116,0.0000,0.027800,0
90,371.16,3,0.179022,0.0000,0.027600,0
91,370.17,3,0.182223,0.0000,0.029200,0
92,369.10,3,0.179067,0.0000,0.027900,0
93,369.10,3,0.165352,0.0000,0.030300,0
94,368.17,3,0.121194,0.0000,0.028100,0
95,368.11,3,0.095655,0.0000,0.029400,0
96,367.18,3,0.060862,0.0000,0.027700,0
97,366.18,17,0.017454,0.0000,0.043100,0
98,365.52,17,0.002193,0.0000,0.042500,0
99,365.19,17,0.005554,0.0000,0.045300,0
100,364.19,17,0.009159,0.0000,0.044000,0
101,364.13,17,0.014688,0.0000,0.044800,0
102,363.20,17,0.023769,0.0000,0.045600,0
103,362.86,17,0.031605,0.0000,0.048600,0
