t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,1180.42,2,2.044434,0.2000,0.400400,0
1,1180.08,2,2.208616,0.4000,0.392900,0
2,1179.39,11,1.779826,0.2000,0.232800,0
3,1179.08,11,1.604497,0.2000,0.228000,0
4,1178.76,11,1.545107,0.2000,0.226000,0
5,1178.08,11,1.461940,0.2000,0.232600,0
6,1177.42,11,1.414863,0.0000,0.233000,0
7,1177.17,11,1.220587,0.0000,0.229600,0
8,1176.75,11,1.111570,0.0000,0.232700,0
9,1175.75,11,0.975605,0.2000,0.239000,0
10,1175.08,5,0.895549,0.0000,0.155600,0
11,1174.42,17,0.413192,0.0000,0.051200,0
12,1174.08,17,0.143369,0.0000,0.045400,0
13,1173.42,17,0.131708,0.0000,0.044000,0
14,1173.08,17,0.129925,0.0000,0.045000,0
15,1172.42,17,0.135773,0.0000,0.048100,0
16,1172.08,17,0.151211,0.0000,0.049300,0
17,1171.42,17,0.153753,0.0000,0.047400,0
18,1171.08,17,0.160964,0.0000,0.044700,0
19,1170.42,17,0.155174,0.2000,0.045900,0
20,1170.08,17,0.159758,0.0000,0.046000,0
21,1169.42,9,0.173336,0.0000,0.101000,0
22,1169.08,17,0.159998,0.0000,0.046200,0
23,1168.75,17,0.151101,0.0000,0.044400,0
24,1168.08,17,0.140127,0.0000,0.045600,0
25,1167.58,17,0.158116,0.0000,0.045700,0
26,1167.08,9,0.327490,0.0000,0.094300,0
27,1166.75,9,0.325982,0.0000,0.096100,0
28,1166.50,9,0.306848,0.0000,0.093300,0
29,1165.75,9,0.325754,0.0000,0.094500,0
30,1165.08,9,0.322817,0.0000,0.096400,0
31,1164.42,9,0.329757,0.0000,0.096300,0
32,1164.08,9,0.322422,0.0000,0.096100,0
33,1163.75,9,0.345250,0.0000,0.092300,0
34,1163.08,9,0.343581,0.0000,0.088100,0
35,1160.08,17,0.121142,0.0000,0.041700,0
36,1159.75,17,0.119716,0.0000,0.042700,0
37,1159.08,9,0.186052,0.0000,0.096800,0
38,1158.17,3,0.185013,0.0000,0.029700,0
39,1157.75,17,0.034908,0.0000,0.045800,0
40,1157.08,3,0.160700,0.0000,0.030300,0
41,1156.42,3,0.107821,0.0000,0.028100,0
42,1156.08,3,0.091042,0.0000,0.029200,0
43,1155.75,3,0.183424,0.0000,0.028200,0
44,1154.08,3,0.275167,0.0000,0.029400,0
45,1153.33,0,0.409318,0.0000,0.019100,0
46,1153.33,0,0.600232,0.0000,0.018900,0
47,1151.42,19,0.807756,0.0000,0.018600,0
48,1151.33,19,1.062357,0.0000,0.018000,0
49,1149.42,12,1.335551,0.0000,0.043000,0
50,1149.08,12,1.282564,0.0000,0.039500,0
51,1147.08,19,1.199464,0.0000,0.021900,0
52,1146.42,19,1.023959,0.0000,0.022200,0
53,1146.08,19,0.721051,0.0000,0.019900,0
54,1145.75,3,0.355846,0.0000,0.030900,0
55,1145.08,9,0.280437,0.0000,0.096800,0
56,1144.42,5,0.742222,0.0000,0.156900,0
57,1144.25,11,1.147877,0.0000,0.227500,0
58,1143.75,11,1.538787,0.0000,0.229600,0
59,1143.08,2,1.840868,0.2000,0.406700,0
60,1143.00,2,2.106330,0.2000,0.405300,0
61,1142.08,2,2.311496,0.2000,0.399200,0
62,1141.75,2,2.440647,0.8000,0.400500,0
63,1140.75,2,2.460738,0.8000,0.401400,0
64,1140.08,2,2.168719,0.0000,0.402400,0
65,1139.42,2,1.966676,0.2000,0.390200,0
66,1139.08,2,1.756483,0.0000,0.395100,0
67,1138.75,11,1.608801,0.0000,0.234300,0
68,1138.08,11,1.228517,0.0000,0.228700,0
69,1137.42,5,0.784733,0.0000,0.160800,0
70,1137.17,5,0.536164,0.0000,0.156900,0
71,1136.42,5,0.501450,0.0000,0.148000,0
72,1136.08,9,0.481028,0.0000,0.093300,0
73,1135.42,17,0.168737,0.0000,0.044500,0
74,1135.08,17,0.071187,0.0000,0.044300,0
75,1134.42,17,0.095694,0.0000,0.042200,0
76,1134.08,17,0.086390,0.0000,0.041800,0
77,1133.42,17,0.125784,0.0000,0.043700,0
78,1133.08,17,0.138372,0.0000,0.045200,0
79,1132.75,17,0.097811,0.0000,0.044100,0
80,1132.08,17,0.083851,0.0000,0.045600,0
81,1131.75,17,0.097336,0.0000,0.042900,0
82,1131.08,17,0.061744,0.0000,0.045500,0
83,1130.50,17,0.062978,0.0000,0.045300,0
84,1130.08,17,0.057794,0.0000,0.043900,0
85,1129.83,17,0.060186,0.0000,0.050200,0
86,1129.08,17,0.054201,0.0000,0.042800,0
87,1128.42,17,0.057568,0.0000,0.046200,0
88,1128.08,17,0.084237,0.0000,0.042700,0
89,1127.42,17,0.081846,0.0000,0.046600,0
90,1127.08,17,0.077485,0.0000,0.044400,0
91,1126.42,17,0.072477,0.0000,0.046200,0
92,1126.08,17,0.053820,0.0000,0.045700,0
93,1125.42,17,0.035661,0.0000,0.050700,0
94,1125.25,17,0.014941,0.0000,0.042800,0
95,1124.42,17,0.010145,0.0000,0.045100,0
96,1124.08,17,0.002117,0.0000,0.046700,0
97,1123.75,17,0.003882,0.0000,0.044700,0
98,1123.08,17,0.014454,0.0000,0.045000,0
99,1122.83,17,0.007475,0.0000,0.044800,0
100,1122.08,17,0.004019,0.0000,0.042500,0
101,1121.75,17,0.043844,0.0000,0.047300,0
102,1121.08,17,0.027202,0.0000,0.046900,0
103,1120.42,17,0.026434,0.0000,0.049000,0
104,1120.08,17,0.027336,0.0000,0.042400,0
105,1119.75,17,0.019830,0.0000,0.048000,0
106,1119.42,17,0.029251,0.0000,0.045900,0
107,1119.08,17,0.034277,0.0000,0.046300,0
108,1118.50,17,0.029872,0.0000,0.043900,0
109,1118.08,17,0.060768,0.0000,0.043700,0
110,1117.42,17,0.046090,0.0000,0.047400,0
111,1117.08,17,0.053999,0.0000,0.049600,0
112,1116.42,17,0.054426,0.0000,0.049600,0
113,1116.08,17,0.019480,0.0000,0.048700,0
114,1115.42,17,0.011200,0.0000,0.042300,0
115,1115.08,17,0.021518,0.0000,0.047100,0
116,1114.75,17,0.036926,0.0000,0.043800,0
117,1114.08,17,0.060810,0.0000,0.044800,0
118,1113.75,17,0.036802,0.0000,0.047200,0
119,1113.08,17,0.045028,0.0000,0.047700,0
120,1112.75,17,0.065940,0.0000,0.046600,0
121,1112.08,9,0.245614,0.0000,0.089700,0
122,1111.75,9,0.207588,0.0000,0.094800,0
123,1111.08,9,0.209268,0.0000,0.095700,0
124,1110.42,17,0.156676,0.0000,0.042700,0
125,1110.08,17,0.161448,0.0000,0.045400,0
126,1109.75,17,0.143746,0.0000,0.044200,0
127,1109.08,17,0.142375,0.0000,0.045500,0
128,1108.42,17,0.111963,0.0000,0.044600,0
129,1108.08,17,0.101960,0.0000,0.045400,0
130,1107.75,17,0.077246,0.0000,0.045600,0
131,1107.08,17,0.066126,0.0000,0.046200,0
132,1106.75,17,0.053167,0.0000,0.044100,0
133,1106.17,17,0.046189,0.0000,0.044900,0
134,1105.42,17,0.050021,0.0000,0.045100,0
135,1105.08,17,0.074462,0.0000,0.044200,0
136,1104.75,17,0.058232,0.0000,0.042000,0
137,1104.08,17,0.081116,0.0000,0.043500,0
138,1103.42,17,0.070275,0.0000,0.043100,0
139,1103.08,17,0.070158,0.0000,0.043900,0
140,1102.42,17,0.059478,0.0000,0.044500,0
141,1102.08,17,0.080903,0.0000,0.046700,0
142,1101.42,17,0.091349,0.0000,0.045200,0
143,1101.08,17,0.123824,0.0000,0.048100,0
144,1100.75,17,0.081341,0.0000,0.048100,0
145,1100.08,17,0.098264,0.0000,0.044300,0
146,1099.42,17,0.101222,0.0000,0.044800,0
147,1099.08,17,0.106649,0.0000,0.044800,0
148,1098.75,17,0.098412,0.0000,0.047000,0
149,1098.08,17,0.132774,0.0000,0.045900,0
150,1097.42,17,0.138216,0.0000,0.046200,0
151,1097.08,17,0.083937,0.0000,0.047100,0
152,1096.42,17,0.106644,0.0000,0.045900,0
153,1096.08,17,0.083250,0.0000,0.048600,0
154,1095.75,17,0.069258,0.0000,0.045100,0
155,1095.33,17,0.114464,0.0000,0.046600,0
156,1094.42,17,0.057356,0.0000,0.050200,0
157,1094.08,17,0.097651,0.0000,0.046300,0
158,1093.42,17,0.041094,0.0000,0.047800,0
159,1093.08,3,0.055358,0.0000,0.028300,0
160,1092.87,17,0.105628,0.0000,0.049200,0
161,1092.17,3,0.082603,0.0000,0.030000,0
162,1091.50,3,0.092562,0.0000,0.027400,0
163,1091.08,3,0.070073,0.0000,0.031100,0
164,1090.75,17,0.002870,0.0000,0.046200,0
165,1090.25,3,0.096046,0.0000,0.026900,0
166,1089.42,0,0.539589,0.0000,0.020400,0
167,1089.08,0,0.470785,0.0000,0.020600,0
168,1088.75,0,0.530704,0.0000,0.020600,0
169,1088.42,0,0.656589,0.0000,0.018200,0
170,1088.00,19,0.991966,0.0000,0.019900,0
171,1087.50,19,1.205960,0.0000,0.017800,0
172,1086.08,12,1.935014,0.0000,0.044900,0
173,1085.58,12,1.945124,0.0000,0.043500,0
