t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,16.42,14,4.162831,0.2000,0.596800,0
1,16.08,6,4.212575,0.6000,0.774000,0
2,15.75,6,4.184070,0.6000,0.778900,0
3,15.42,6,4.238482,0.8000,0.763700,0
4,15.08,6,4.335631,0.6000,0.768800,0
5,15.08,6,4.374190,0.8000,0.771000,0
6,14.75,6,4.417741,0.6000,0.776500,0
7,14.42,6,4.512478,0.8000,0.773700,0
8,14.42,6,4.534534,0.4000,0.774600,0
9,14.15,6,4.614161,0.4000,0.771200,0
10,13.75,6,4.711602,1.0000,0.774600,0
11,13.42,6,4.760712,0.6000,0.777500,0
12,13.17,6,4.882512,0.8000,0.776900,0
13,13.17,6,4.927109,0.6000,0.770000,0
14,12.75,6,4.969257,0.8000,0.783500,0
15,12.50,6,5.040627,0.8000,0.771500,0
16,12.50,6,5.035584,0.6000,0.775900,0
17,9.15,6,6.079768,0.8000,0.776600,0
18,9.09,15,6.351394,1.0000,0.861600,0
19,9.03,15,6.685501,0.8000,0.859200,0
20,9.03,15,7.011465,0.8000,0.856700,0
21,8.40,15,7.619703,0.8000,0.862800,0
22,8.40,15,8.000003,1.0000,0.861500,0
23,7.84,1,8.680320,1.0000,0.904200,0
24,7.47,1,9.075419,1.0000,0.899100,0
25,7.47,1,9.403134,0.6000,0.894900,0
26,7.10,1,9.630658,1.0000,0.901600,0
27,7.10,1,9.931697,0.8000,0.896500,0
28,6.46,1,10.101767,0.8000,0.894200,0
29,6.35,1,10.245775,0.8000,0.902300,0
30,6.10,1,10.528517,0.8000,0.899400,0
31,6.10,1,10.834753,0.8000,0.900900,0
32,5.91,1,10.509615,1.0000,0.904000,0
33,5.42,1,10.417843,1.0000,0.902400,0
34,5.42,1,10.351553,1.0000,0.897300,0
35,5.27,1,10.343292,1.0000,0.894100,0
36,5.10,1,10.110131,1.0000,0.899400,0
37,4.89,1,9.984504,1.0000,0.895400,0
38,4.86,1,9.730209,0.8000,0.893100,0
39,4.47,1,9.708680,0.8000,0.897800,0
40,4.11,1,9.530834,1.0000,0.898600,0
41,4.11,1,9.279528,1.0000,0.903200,0
42,3.90,1,9.151710,1.0000,0.898800,0
43,3.65,1,9.010637,1.0000,0.901600,0
44,3.49,1,8.665279,1.0000,0.899000,0
45,3.36,1,8.438845,0.6000,0.901800,0
46,3.12,1,9.010636,0.8000,0.897000,0
47,3.12,1,8.760872,0.6000,0.896300,0
48,2.97,1,8.649029,1.0000,0.895500,0
49,2.93,1,8.520293,1.0000,0.901200,0
50,2.91,1,8.541461,1.0000,0.900000,0
51,2.44,1,8.605671,1.0000,0.899800,0
52,2.36,1,8.764299,0.6000,0.897700,0
53,2.19,1,8.946818,0.8000,0.905700,0
54,1.94,1,9.194200,1.0000,0.895800,0
55,1.76,1,9.489293,1.0000,0.898000,0
56,1.66,1,9.637756,1.0000,0.898700,0
57,1.49,1,10.167538,1.0000,0.899600,0
58,1.39,1,10.198346,0.8000,0.898000,0
59,1.14,10,11.210161,0.8000,0.901500,0
60,1.08,10,11.495735,1.0000,0.897400,0
61,1.01,10,11.797855,1.0000,0.897900,0
62,0.95,10,12.049376,1.0000,0.900000,0
63,0.68,10,12.662890,1.0000,0.899900,0
64,0.58,10,12.961383,1.0000,0.902500,0
65,0.40,10,13.541693,1.0000,0.894700,0
66,0.03,4,14.168548,1.0000,0.876700,0
