t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,468.48,2,2.276201,0.0000,0.397500,0
1,468.08,2,2.318306,0.6000,0.402700,0
2,467.75,2,2.350077,0.4000,0.397500,0
3,467.50,2,2.350814,0.4000,0.400000,0
4,467.17,2,2.289440,0.2000,0.397800,0
5,467.08,2,2.240035,0.0000,0.400300,0
6,466.75,2,2.321294,0.6000,0.395000,0
7,466.67,2,2.221812,0.2000,0.400600,0
8,466.52,2,2.021363,0.0000,0.402800,0
9,466.08,2,2.056656,0.4000,0.392700,0
10,465.50,2,2.185689,0.0000,0.396900,0
11,465.42,2,2.117044,0.2000,0.390900,0
12,465.17,2,2.081540,0.2000,0.403500,0
13,465.08,2,2.053076,0.6000,0.399700,0
14,464.83,2,2.033679,0.2000,0.397200,0
15,464.42,2,2.111490,0.2000,0.403300,0
16,464.08,2,2.139824,0.0000,0.399500,0
17,463.83,2,2.092005,0.2000,0.402800,0
18,463.42,2,2.151853,0.2000,0.389000,0
19,463.08,2,2.252130,0.2000,0.402900,0
20,462.75,2,2.248572,0.0000,0.401900,0
21,462.42,2,2.195972,0.2000,0.395100,0
22,462.08,2,2.104293,0.0000,0.398500,0
23,461.75,2,2.249876,0.0000,0.398000,0
24,459.08,14,2.873473,0.4000,0.601900,0
25,458.75,14,2.759748,0.6000,0.589500,0
26,458.50,2,2.709018,1.0000,0.394900,0
27,458.08,2,2.621880,0.6000,0.392600,0
28,457.42,2,2.393814,0.0000,0.397000,0
29,457.08,2,2.310244,0.4000,0.394900,0
30,456.83,2,2.179202,0.2000,0.388000,0
31,456.42,2,1.939926,0.2000,0.403700,0
32,456.08,2,2.097088,0.2000,0.398800,0
33,455.47,2,1.908450,0.0000,0.405100,0
34,455.08,2,1.679551,0.2000,0.399100,0
35,454.75,11,1.286552,0.0000,0.234800,0
36,454.42,11,1.156973,0.0000,0.222300,0
37,454.08,11,1.141281,0.0000,0.228900,0
38,453.08,5,0.933075,0.0000,0.156900,0
39,452.42,5,0.712517,0.0000,0.165700,0
40,452.33,5,0.625685,0.0000,0.156900,0
41,450.75,5,0.532063,0.0000,0.154200,0
42,450.42,5,0.538478,0.0000,0.158200,0
43,450.33,5,0.589093,0.0000,0.156800,0
44,449.08,5,0.621785,0.0000,0.160400,0
