t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,853.75,2,2.385837,0.2000,0.397500,0
1,853.42,2,2.063919,0.0000,0.393700,0
2,853.08,2,1.957799,0.2000,0.396200,0
3,852.42,2,1.905129,0.2000,0.404000,0
4,852.17,2,1.990163,0.0000,0.399400,0
5,852.08,2,2.123230,0.2000,0.395200,0
6,851.75,2,2.149363,0.2000,0.389000,0
7,851.08,2,2.158679,0.0000,0.403900,0
8,850.75,2,2.248058,0.6000,0.394800,0
9,850.42,2,2.317984,0.4000,0.401600,0
10,850.08,2,2.367567,0.4000,0.398800,0
11,849.75,2,2.299801,0.4000,0.397600,0
12,849.08,2,2.314201,0.2000,0.403900,0
13,848.50,2,2.287304,0.2000,0.413300,0
14,848.42,2,2.238545,0.2000,0.397400,0
15,848.08,2,2.156551,0.2000,0.400400,0
16,847.42,2,2.084240,0.0000,0.389500,0
17,847.08,2,2.035712,0.4000,0.399900,0
18,846.75,11,1.619056,0.0000,0.240000,0
19,846.67,11,1.103111,0.0000,0.232600,0
20,846.08,5,0.737494,0.0000,0.160500,0
21,845.50,5,0.584207,0.0000,0.159300,0
22,845.42,5,0.615811,0.0000,0.155700,0
23,845.08,9,0.433287,0.0000,0.099200,0
24,844.75,9,0.316493,0.0000,0.092100,0
25,844.42,9,0.217686,0.0000,0.090600,0
26,844.17,17,0.148871,0.0000,0.045200,0
27,844.08,9,0.209047,0.0000,0.094600,0
28,843.75,17,0.147090,0.0000,0.043700,0
29,843.42,3,0.111292,0.0000,0.027000,0
30,843.08,0,0.501288,0.0000,0.021400,0
31,843.00,0,0.489292,0.0000,0.020800,0
32,841.25,19,1.484228,0.0000,0.017500,0
33,841.00,19,1.191930,0.0000,0.018100,0
34,840.67,12,1.327494,0.0000,0.042000,0
35,839.83,12,1.583893,0.0000,0.043700,0
36,839.33,12,1.558323,0.0000,0.041900,0
37,839.08,12,1.427337,0.0000,0.041700,0
38,838.33,12,1.427709,0.0000,0.044800,0
39,837.08,12,1.732855,0.0000,0.044900,0
40,836.75,12,1.532079,0.0000,0.042500,0
41,836.42,12,1.366015,0.0000,0.041800,0
42,836.08,19,1.169389,0.0000,0.016000,0
43,836.08,19,0.943542,0.0000,0.021200,0
44,836.00,19,0.760107,0.0000,0.017800,0
45,835.58,19,0.702831,0.0000,0.018400,0
46,835.08,0,0.649527,0.0000,0.018000,0
47,834.75,0,0.455367,0.0000,0.017000,0
48,834.50,0,0.403262,0.0000,0.020000,0
49,834.42,0,0.371232,0.0000,0.021300,0
50,834.17,3,0.187840,0.0000,0.027600,0
51,834.08,9,0.305732,0.0000,0.093500,0
52,833.83,9,0.451442,0.0000,0.094000,0
53,833.50,5,0.573328,0.0000,0.158700,0
54,833.42,5,0.955102,0.0000,0.159300,0
55,833.17,11,1.264623,0.0000,0.225600,0
56,833.08,11,1.523758,0.2000,0.234800,0
57,832.50,11,1.521928,0.0000,0.222200,0
58,832.24,2,1.793603,0.0000,0.398100,0
59,832.08,2,1.713286,0.4000,0.393000,0
60,831.83,11,1.345781,0.0000,0.230400,0
61,831.42,11,1.078201,0.0000,0.229000,0
62,831.08,11,1.193228,0.0000,0.234300,0
63,830.83,11,1.255502,0.0000,0.235000,0
64,830.50,11,1.217434,0.0000,0.227600,0
65,830.42,11,1.227852,0.0000,0.229600,0
66,830.25,11,1.112640,0.0000,0.228900,0
67,830.17,5,0.898031,0.0000,0.158000,0
68,830.08,5,0.865579,0.0000,0.153400,0
69,829.83,5,0.870185,0.0000,0.166000,0
70,829.42,5,0.708341,0.0000,0.157700,0
71,829.42,5,0.661820,0.0000,0.154800,0
72,829.25,5,0.836351,0.2000,0.154600,0
73,829.17,5,0.849066,0.0000,0.152100,0
74,829.08,5,0.822837,0.0000,0.157200,0
75,829.00,5,0.752479,0.0000,0.156100,0
76,828.75,5,0.820287,0.0000,0.154800,0
77,828.42,11,0.990039,0.0000,0.230100,0
78,828.25,11,1.096003,0.0000,0.228200,0
79,828.08,11,1.164243,0.0000,0.227900,0
80,827.75,11,1.188660,0.0000,0.237100,0
81,827.50,11,1.183110,0.0000,0.219500,0
82,827.42,11,1.252456,0.0000,0.236200,0
83,827.17,11,1.250023,0.0000,0.235700,0
84,827.08,11,1.220042,0.2000,0.236000,0
85,826.83,11,1.136722,0.0000,0.218900,0
86,826.50,5,0.936626,0.0000,0.163500,0
87,826.42,11,0.958065,0.0000,0.237400,0
88,826.25,11,1.318544,0.0000,0.229400,0
89,826.17,11,1.120021,0.0000,0.228400,0
90,826.08,11,0.964695,0.0000,0.229500,0
91,826.08,11,1.041163,0.0000,0.229700,0
92,825.50,5,0.806234,0.0000,0.158600,0
93,825.25,5,0.841766,0.0000,0.162900,0
94,825.00,11,1.131284,0.0000,0.232800,0
95,825.00,11,0.977696,0.0000,0.228900,0
96,824.42,5,0.933596,0.0000,0.156900,0
97,824.25,11,1.065577,0.0000,0.219500,0
98,824.17,11,1.130992,0.0000,0.226100,0
99,824.08,11,1.265798,0.0000,0.227400,0
100,823.92,11,1.147853,0.0000,0.229300,0
101,823.83,11,1.222697,0.2000,0.231600,0
102,823.67,11,1.434084,0.0000,0.228200,0
103,823.42,11,1.462226,0.0000,0.231300,0
104,823.33,11,1.437251,0.0000,0.232700,0
105,823.08,11,1.383850,0.0000,0.241100,0
106,823.00,11,1.262030,0.0000,0.229600,0
107,822.92,11,1.199953,0.0000,0.232400,0
108,822.75,11,1.283938,0.0000,0.230800,0
109,822.58,11,1.172235,0.0000,0.227900,0
110,822.50,11,1.175607,0.0000,0.224700,0
111,822.42,11,1.232441,0.0000,0.232600,0
112,822.33,11,1.313578,0.0000,0.224200,0
113,822.25,11,1.354070,0.0000,0.234000,0
114,822.08,11,1.363596,0.0000,0.224700,0
115,821.83,11,1.336994,0.2000,0.229600,0
116,821.75,11,1.364006,0.0000,0.225700,0
117,821.67,11,1.371111,0.0000,0.232200,0
118,821.50,11,1.362371,0.0000,0.226300,0
119,821.42,11,1.325370,0.2000,0.222300,0
120,821.33,11,1.353413,0.0000,0.232800,0
121,821.08,11,1.292427,0.0000,0.225800,0
122,821.08,11,1.277698,0.0000,0.227800,0
123,820.83,11,1.254454,0.0000,0.230600,0
124,820.75,11,1.311161,0.0000,0.226300,0
