t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,499.08,16,4.686939,0.0000,0.083000,0
1,498.67,16,4.618950,0.0000,0.086400,0
2,498.42,16,4.429132,0.0000,0.079300,0
3,498.08,8,4.347438,0.0000,0.048500,0
4,497.83,8,4.062350,0.0000,0.054900,0
5,497.42,8,3.625668,0.0000,0.055000,0
6,497.08,8,3.097794,0.0000,0.054000,0
7,496.42,8,2.574160,0.0000,0.053100,0
8,496.17,12,2.222105,0.0000,0.040200,0
9,496.08,12,1.987461,0.0000,0.041900,0
10,495.50,12,1.714264,0.0000,0.042400,0
11,495.42,12,1.472704,0.0000,0.042200,0
12,495.17,19,1.264890,0.0000,0.020000,0
13,494.83,19,1.038704,0.0000,0.017400,0
14,494.17,19,0.805933,0.0000,0.018300,0
15,493.83,0,0.596625,0.0000,0.017700,0
16,493.42,0,0.420951,0.0000,0.021600,0
17,493.42,3,0.199503,0.0000,0.027500,0
18,492.50,3,0.117500,0.0000,0.027000,0
19,492.42,17,0.177641,0.0000,0.044100,0
20,492.17,9,0.391758,0.0000,0.095100,0
21,492.08,9,0.492574,0.0000,0.095100,0
22,491.83,5,0.662101,0.0000,0.154600,0
23,491.42,5,0.746599,0.0000,0.159000,0
24,491.17,5,0.809574,0.0000,0.154900,0
25,491.08,5,0.856730,0.0000,0.153800,0
26,490.42,5,0.871541,0.0000,0.162300,0
27,490.17,5,0.876561,0.0000,0.163800,0
28,490.08,5,0.847040,0.0000,0.161900,0
29,489.83,5,0.827745,0.0000,0.157000,0
30,489.42,5,0.741823,0.0000,0.158700,0
31,489.08,5,0.652183,0.0000,0.158000,0
32,488.83,5,0.595601,0.0000,0.157900,0
33,488.42,5,0.609521,0.0000,0.153900,0
34,488.17,5,0.610906,0.0000,0.162400,0
35,488.08,5,0.619893,0.0000,0.158600,0
36,487.50,5,0.630635,0.0000,0.158300,0
37,487.42,5,0.629966,0.0000,0.151600,0
38,487.08,5,0.624919,0.0000,0.157600,0
39,486.83,5,0.625286,0.0000,0.155200,0
40,486.42,5,0.626071,0.0000,0.165800,0
41,486.17,5,0.585785,0.0000,0.162200,0
42,486.08,5,0.595757,0.0000,0.158800,0
43,485.83,5,0.591558,0.0000,0.155800,0
44,485.42,5,0.585218,0.0000,0.153400,0
45,485.08,5,0.591704,0.0000,0.156500,0
46,484.75,5,0.606762,0.0000,0.157900,0
47,484.08,5,0.606732,0.0000,0.156600,0
48,483.42,5,0.549848,0.0000,0.159200,0
49,483.17,5,0.565162,0.0000,0.153200,0
50,483.08,5,0.563364,0.0000,0.157900,0
51,482.50,5,0.560370,0.0000,0.158800,0
52,482.42,5,0.555394,0.0000,0.155000,0
53,482.17,5,0.559038,0.0000,0.158500,0
54,482.08,5,0.553262,0.0000,0.158700,0
55,481.50,5,0.547863,0.0000,0.160300,0
56,481.42,5,0.550565,0.0000,0.154800,0
57,481.17,5,0.517961,0.0000,0.161500,0
58,481.08,5,0.498595,0.0000,0.158100,0
59,480.50,9,0.473923,0.0000,0.098000,0
60,480.42,9,0.460474,0.0000,0.098600,0
61,480.17,9,0.392655,0.0000,0.094800,0
62,479.75,9,0.298379,0.0000,0.096000,0
63,479.17,9,0.230328,0.0000,0.094500,0
64,479.08,9,0.391179,0.0000,0.096500,0
65,478.92,9,0.426518,0.0000,0.092600,0
66,478.67,9,0.472377,0.0000,0.096300,0
67,478.08,9,0.456169,0.0000,0.089100,0
68,477.42,9,0.444417,0.0000,0.097100,0
69,477.17,5,0.530996,0.0000,0.158100,0
70,477.08,5,0.546576,0.0000,0.159900,0
71,476.83,5,0.583969,0.0000,0.162800,0
72,476.42,5,0.576646,0.0000,0.159500,0
73,476.08,5,0.569456,0.0000,0.162000,0
74,475.50,9,0.330575,0.0000,0.092900,0
75,475.42,9,0.288649,0.0000,0.093100,0
76,475.17,9,0.288936,0.0000,0.092400,0
77,475.08,9,0.292602,0.0000,0.090900,0
78,474.42,9,0.294594,0.0000,0.094400,0
79,474.08,9,0.273309,0.0000,0.092000,0
80,473.83,9,0.279214,0.0000,0.094100,0
81,473.42,9,0.288130,0.0000,0.097300,0
82,473.33,9,0.288608,0.0000,0.092700,0
83,473.08,9,0.298219,0.0000,0.098500,0
84,472.83,9,0.302315,0.0000,0.093900,0
85,472.50,9,0.306028,0.0000,0.093100,0
86,472.50,9,0.319225,0.0000,0.093100,0
87,472.17,9,0.315461,0.0000,0.096400,0
88,472.08,9,0.304870,0.0000,0.091400,0
89,471.42,9,0.338752,0.0000,0.093400,0
90,471.33,9,0.337812,0.0000,0.093800,0
91,471.08,9,0.333311,0.0000,0.097200,0
92,470.42,9,0.340719,0.0000,0.093400,0
93,470.17,9,0.348108,0.0000,0.097800,0
94,470.08,9,0.336467,0.0000,0.098900,0
95,469.58,9,0.331747,0.0000,0.094700,0
96,469.08,9,0.325965,0.2000,0.092700,0
97,468.83,9,0.325142,0.0000,0.091800,0
98,468.75,9,0.314553,0.0000,0.093200,0
99,468.42,9,0.305094,0.0000,0.093400,0
100,468.17,9,0.306771,0.0000,0.091000,0
101,468.17,9,0.289386,0.0000,0.098200,0
102,467.50,9,0.288555,0.0000,0.090500,0
103,467.42,9,0.292109,0.0000,0.095000,0
104,467.17,5,0.519776,0.0000,0.152400,0
105,467.08,5,0.501833,0.0000,0.154000,0
106,466.75,5,0.501892,0.0000,0.156900,0
107,466.08,5,0.519927,0.0000,0.161700,0
108,466.08,5,0.510636,0.0000,0.156200,0
109,465.33,5,0.514295,0.0000,0.157500,0
110,465.08,5,0.506985,0.0000,0.161300,0
111,464.83,5,0.507460,0.0000,0.159300,0
112,464.50,5,0.520344,0.0000,0.154100,0
113,463.75,5,0.517188,0.0000,0.156000,0
114,463.42,9,0.361960,0.0000,0.090300,0
115,463.08,9,0.409287,0.0000,0.091300,0
116,462.42,9,0.404434,0.0000,0.094400,0
117,462.08,9,0.387012,0.0000,0.092400,0
118,461.42,9,0.358112,0.2000,0.098200,0
119,461.25,9,0.386904,0.0000,0.089800,0
120,461.00,9,0.385924,0.0000,0.091800,0
121,460.08,9,0.381920,0.2000,0.098400,0
122,459.50,9,0.414843,0.0000,0.094300,0
123,459.42,9,0.461637,0.0000,0.093000,0
124,459.17,5,0.497671,0.0000,0.164100,0
125,459.08,9,0.486564,0.2000,0.095900,0
126,458.75,9,0.472746,0.0000,0.095800,0
127,458.42,9,0.477761,0.0000,0.090400,0
128,458.08,9,0.483314,0.0000,0.094400,0
129,457.42,5,0.496910,0.0000,0.159500,0
130,457.33,9,0.480323,0.0000,0.095200,0
131,457.33,9,0.495838,0.0000,0.101700,0
132,456.75,9,0.471711,0.0000,0.092600,0
133,456.42,9,0.454555,0.2000,0.093900,0
134,456.08,9,0.410510,0.0000,0.094100,0
135,455.67,9,0.403563,0.0000,0.092400,0
136,455.42,9,0.403649,0.0000,0.092700,0
137,455.08,9,0.411158,0.0000,0.092000,0
138,455.08,9,0.416992,0.2000,0.098600,0
139,454.42,9,0.388280,0.0000,0.093900,0
140,454.08,9,0.351024,0.0000,0.092900,0
141,453.42,9,0.332408,0.0000,0.095400,0
142,453.08,9,0.313511,0.0000,0.092400,0
143,452.42,9,0.257278,0.0000,0.092800,0
144,452.12,9,0.198887,0.0000,0.092800,0
145,451.75,17,0.165312,0.0000,0.043300,0
146,451.50,17,0.156003,0.0000,0.047100,0
147,451.08,17,0.160380,0.0000,0.044500,0
148,451.00,17,0.157300,0.0000,0.045400,0
149,450.42,17,0.142279,0.0000,0.048200,0
150,450.08,17,0.156443,0.0000,0.045800,0
151,449.58,9,0.184279,0.0000,0.093900,0
152,449.42,9,0.194258,0.0000,0.094600,0
153,449.08,9,0.230370,0.0000,0.091600,0
154,449.08,9,0.255070,0.0000,0.097600,0
155,448.42,9,0.251630,0.2000,0.096700,0
156,448.08,9,0.246841,0.0000,0.091900,0
157,447.42,9,0.221418,0.0000,0.095100,0
158,447.08,9,0.204660,0.0000,0.089400,0
159,447.08,9,0.192110,0.0000,0.093000,0
160,446.42,17,0.169080,0.0000,0.044000,0
161,446.08,9,0.176606,0.0000,0.096000,0
162,446.08,9,0.182526,0.0000,0.095100,0
163,445.42,17,0.165662,0.0000,0.049700,0
164,445.42,17,0.162580,0.0000,0.048400,0
165,445.08,17,0.171296,0.0000,0.045200,0
166,444.42,17,0.170707,0.0000,0.046000,0
167,444.42,17,0.172737,0.0000,0.047000,0
168,443.75,9,0.190618,0.0000,0.093500,0
169,443.42,9,0.206286,0.0000,0.089800,0
170,443.08,9,0.296605,0.0000,0.091600,0
171,442.42,11,1.365386,0.0000,0.228100,0
172,442.00,11,1.015857,0.0000,0.228700,0
173,441.75,11,0.960701,0.0000,0.222400,0
174,441.42,5,0.813737,0.0000,0.161100,0
175,441.08,5,0.707613,0.0000,0.156300,0
176,440.75,5,0.621184,0.0000,0.155500,0
177,440.42,5,0.526051,0.0000,0.153800,0
178,440.08,5,0.548948,0.0000,0.156400,0
179,439.42,9,0.340853,0.0000,0.093300,0
180,439.08,9,0.276963,0.0000,0.097000,0
181,439.08,9,0.236825,0.0000,0.093100,0
182,438.42,3,0.118074,0.0000,0.027000,0
183,438.42,3,0.092436,0.0000,0.030100,0
184,438.08,0,0.415347,0.0000,0.015900,0
185,437.75,19,0.746055,0.0000,0.016700,0
186,437.33,19,1.046430,0.0000,0.019900,0
187,437.08,19,1.187335,0.0000,0.020500,0
188,436.42,12,1.612709,0.0000,0.043900,0
189,436.42,12,1.558477,0.0000,0.043000,0
190,436.08,12,1.698122,0.0000,0.044500,0
191,435.75,12,1.810084,0.0000,0.043700,0
192,435.42,12,1.895446,0.0000,0.039400,0
193,435.08,12,1.981873,0.0000,0.041600,0
194,434.42,12,2.171737,0.0000,0.042400,0
195,434.08,12,2.122184,0.0000,0.041600,0
196,433.83,12,2.127737,0.0000,0.042800,0
197,433.42,12,2.166739,0.0000,0.042900,0
198,433.17,12,2.196297,0.0000,0.046800,0
199,433.08,12,2.103852,0.0000,0.044600,0
200,432.50,8,2.643574,0.0000,0.055800,0
201,432.42,8,2.682916,0.0000,0.052900,0
202,432.08,8,3.095899,0.0000,0.055500,0
203,431.75,8,2.990644,0.0000,0.055400,0
204,431.42,8,2.976912,0.0000,0.050800,0
205,431.08,8,3.449499,0.0000,0.047800,0
206,430.42,8,3.561471,0.0000,0.051500,0
207,430.08,8,3.055866,0.0000,0.054800,0
208,429.75,8,2.631498,0.0000,0.053900,0
209,429.42,8,2.722030,0.0000,0.050500,0
210,429.08,8,2.580806,0.0000,0.053600,0
211,428.75,8,2.534181,0.0000,0.054000,0
212,428.42,8,2.364853,0.0000,0.052300,0
213,428.25,12,2.134740,0.0000,0.042500,0
214,427.42,12,2.337352,0.0000,0.044100,0
215,427.08,12,2.240147,0.0000,0.045600,0
216,426.42,12,2.302763,0.0000,0.041800,0
217,425.42,8,2.719644,0.0000,0.049300,0
218,425.25,8,2.505631,0.0000,0.051000,0
219,424.42,8,2.797487,0.0000,0.055400,0
220,424.08,8,2.673978,0.0000,0.051100,0
221,423.42,8,2.667817,0.0000,0.055500,0
222,423.08,8,2.420003,0.0000,0.053800,0
223,422.75,12,1.991863,0.0000,0.043500,0
224,422.67,12,1.592710,0.0000,0.041400,0
225,421.50,12,1.824538,0.0000,0.041000,0
226,421.08,12,1.742967,0.0000,0.040800,0
227,421.08,12,1.513972,0.0000,0.042000,0
228,420.42,12,1.617012,0.0000,0.043600,0
229,420.08,12,1.547829,0.0000,0.046300,0
230,419.42,12,1.618935,0.0000,0.042400,0
231,419.17,12,1.468405,0.0000,0.044000,0
232,419.08,19,1.189638,0.0000,0.021100,0
233,418.42,19,1.190613,0.0000,0.018700,0
234,418.17,19,0.977756,0.0000,0.016300,0
235,418.08,19,0.732457,0.0000,0.017300,0
236,417.75,0,0.538383,0.0000,0.018900,0
237,417.25,0,0.455540,0.0000,0.022300,0
238,417.25,3,0.180462,0.0000,0.030500,0
239,416.08,0,0.632197,0.0000,0.022700,0
240,415.42,0,0.509432,0.0000,0.022900,0
