t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,18.08,2,2.067831,0.4000,0.392800,0
1,17.83,2,2.116940,0.2000,0.391200,0
2,17.42,2,2.148033,0.2000,0.395800,0
3,17.17,2,2.192981,0.6000,0.396800,0
4,17.08,2,2.248269,0.2000,0.401700,0
5,16.83,2,2.295749,0.0000,0.401600,0
6,16.42,2,2.347369,0.0000,0.394200,0
7,16.17,2,2.394703,0.6000,0.401600,0
8,16.08,2,2.460795,0.6000,0.396600,0
9,15.50,2,2.549192,1.0000,0.397200,0
10,15.17,2,2.605551,0.4000,0.396500,0
11,15.08,2,2.655138,0.8000,0.395200,0
12,14.50,2,2.720646,0.4000,0.405900,0
13,14.17,14,2.758842,0.6000,0.602900,0
14,14.08,14,2.823377,0.8000,0.603100,0
15,13.83,14,2.850387,0.4000,0.606100,0
16,13.50,14,2.899718,0.6000,0.603200,0
17,13.42,14,2.928357,0.6000,0.599500,0
18,13.17,14,2.975099,0.8000,0.594500,0
19,13.08,14,2.986634,0.8000,0.600500,0
20,12.83,14,3.017122,0.4000,0.599300,0
21,12.42,14,3.041846,0.8000,0.607600,0
22,12.08,14,3.066053,1.0000,0.603800,0
23,11.42,14,3.087174,0.4000,0.599400,0
24,11.17,14,3.148372,0.8000,0.599500,0
25,11.08,14,3.135860,0.4000,0.597300,0
26,10.83,14,3.129739,0.8000,0.611000,0
27,10.42,14,3.159992,0.6000,0.604000,0
28,10.17,14,3.195725,0.8000,0.603700,0
29,10.08,14,3.163887,0.8000,0.610400,0
30,9.83,14,3.169234,0.8000,0.601300,0
31,9.50,14,3.185048,0.4000,0.604900,0
32,9.42,14,3.181251,0.0000,0.602900,0
33,9.17,14,3.183337,0.2000,0.612200,0
34,9.08,14,3.150902,0.8000,0.602200,0
35,8.83,14,3.111960,0.8000,0.599600,0
36,8.50,14,3.010126,0.6000,0.596200,0
37,8.42,14,2.988412,1.0000,0.599600,0
38,8.17,14,3.047981,0.6000,0.605200,0
39,8.08,14,2.999677,0.2000,0.604800,0
40,7.83,14,3.031630,0.4000,0.594900,0
41,7.50,14,3.034187,0.4000,0.609200,0
42,7.42,14,3.004551,0.6000,0.599400,0
43,7.17,14,3.016639,0.4000,0.602500,0
44,7.08,14,2.995765,0.4000,0.608700,0
45,6.83,14,2.994370,0.4000,0.604400,0
46,6.50,14,2.926462,0.0000,0.599300,0
47,6.42,14,2.883239,0.8000,0.606300,0
48,6.17,14,2.874456,0.8000,0.594900,0
49,6.08,14,2.825538,0.6000,0.602300,0
50,5.83,14,2.819866,0.8000,0.607100,0
51,5.58,14,2.915617,1.0000,0.604900,0
52,5.58,14,2.786984,0.6000,0.609700,0
53,5.23,14,3.164306,0.6000,0.592700,0
54,5.11,14,3.324299,0.8000,0.601500,0
55,5.11,14,3.471642,0.6000,0.593900,0
56,4.79,14,3.752846,0.8000,0.603200,0
57,4.48,14,4.138572,0.8000,0.602500,0
58,4.48,6,4.311402,0.4000,0.773000,0
59,4.11,6,4.748459,0.6000,0.777500,0
60,3.79,6,5.259566,0.6000,0.775000,0
61,3.73,6,5.584861,1.0000,0.775500,0
62,3.11,15,6.421906,0.8000,0.856400,0
63,2.98,15,7.109479,1.0000,0.858800,0
64,2.65,15,8.166994,1.0000,0.857300,0
65,1.92,1,10.201744,1.0000,0.893900,0
66,1.61,1,11.463947,0.8000,0.895300,0
67,1.43,10,12.493474,0.6000,0.898400,0
68,1.10,10,14.158400,1.0000,0.894700,0
69,0.31,4,18.901264,1.0000,0.872200,0
70,0.23,7,19.471520,1.0000,0.851000,0
71,0.13,7,20.804253,1.0000,0.851400,0
