t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,1172.08,12,1.300868,0.0000,0.038600,0
1,1171.75,12,1.262263,0.0000,0.039900,0
2,1171.42,19,1.067275,0.0000,0.020000,0
3,1171.08,19,0.756538,0.0000,0.017000,0
4,1170.42,0,0.563335,0.0000,0.020100,0
5,1170.08,3,0.319220,0.0000,0.030400,1
6,1169.75,3,0.153745,0.0000,0.027200,0
7,1169.42,17,0.103340,0.0000,0.046600,0
8,1169.08,9,0.339325,0.0000,0.097700,0
9,1168.75,9,0.471651,0.0000,0.097200,0
10,1168.50,5,0.669718,0.0000,0.158100,0
11,1168.17,5,0.590988,0.0000,0.161600,0
12,1168.08,5,0.768769,0.0000,0.163700,0
13,1167.75,5,0.861437,0.0000,0.158300,0
14,1167.42,11,0.969331,0.0000,0.222700,0
15,1167.08,11,1.081139,0.2000,0.226200,0
16,1166.42,11,1.094214,0.0000,0.223400,0
17,1166.17,11,1.140938,0.0000,0.232600,0
18,1165.42,11,1.170913,0.0000,0.231300,0
19,1165.08,11,1.172870,0.0000,0.225700,0
20,1164.75,11,1.204916,0.2000,0.230600,0
21,1164.50,11,1.197394,0.0000,0.225800,0
22,1164.08,11,1.177015,0.0000,0.230500,0
23,1163.08,11,1.118126,0.0000,0.231300,0
24,1162.08,11,1.127785,0.0000,0.225100,0
25,1161.50,11,1.139937,0.0000,0.230300,0
26,1161.08,17,0.640171,0.2000,0.046400,0
27,1160.75,17,0.170430,0.0000,0.047600,0
28,1160.42,17,0.160906,0.2000,0.045700,0
29,1160.08,17,0.147562,0.0000,0.040900,0
30,1159.75,17,0.147214,0.0000,0.044300,0
31,1159.42,17,0.108140,0.0000,0.048400,0
32,1159.08,17,0.077268,0.0000,0.044600,0
33,1158.50,17,0.076250,0.0000,0.043300,0
34,1158.08,17,0.044428,0.0000,0.048500,0
35,1157.75,17,0.060252,0.0000,0.044100,0
36,1157.08,17,0.114759,0.0000,0.045400,0
37,1156.75,17,0.114393,0.0000,0.042400,0
38,1156.17,17,0.126545,0.0000,0.043100,0
39,1155.42,17,0.119181,0.0000,0.043300,0
40,1155.08,17,0.092982,0.0000,0.049500,0
41,1154.75,17,0.087873,0.0000,0.044800,0
42,1154.50,17,0.094659,0.0000,0.045900,0
43,1154.08,17,0.170212,0.0000,0.044400,0
44,1153.75,17,0.135493,0.0000,0.043300,0
45,1153.08,17,0.124711,0.0000,0.043800,0
46,1152.75,17,0.103147,0.0000,0.042900,0
47,1152.08,17,0.103599,0.0000,0.043100,0
48,1151.75,17,0.091780,0.0000,0.047500,0
49,1151.08,17,0.096246,0.0000,0.044100,0
50,1150.83,17,0.066679,0.0000,0.047400,0
