t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,310.42,12,2.083927,0.0000,0.041500,0
1,310.33,12,2.065289,0.0000,0.040600,0
2,310.08,12,2.009521,0.0000,0.042400,0
3,309.83,12,1.752162,0.0000,0.043700,0
4,309.42,12,1.952953,0.0000,0.041100,0
5,309.17,12,2.006196,0.0000,0.042000,0
6,309.08,12,2.180751,0.0000,0.042300,0
7,308.58,8,3.098215,0.0000,0.056400,0
8,308.42,8,2.590470,0.0000,0.052400,0
9,308.17,12,2.296526,0.0000,0.041800,0
10,307.83,12,2.081808,0.0000,0.043200,0
11,307.50,12,1.999448,0.0000,0.044600,0
12,307.42,12,1.759982,0.0000,0.042800,0
13,307.08,12,1.559728,0.0000,0.043600,0
14,306.83,12,1.407733,0.0000,0.042300,0
15,306.50,19,1.155703,0.0000,0.019700,0
16,306.42,19,0.913501,0.0000,0.017700,0
17,306.08,19,0.722465,0.0000,0.021600,0
18,305.83,0,0.523343,0.0000,0.019900,0
19,305.42,3,0.310247,0.0000,0.031200,0
20,305.08,17,0.062835,0.0000,0.043400,0
21,304.50,9,0.251005,0.0000,0.096000,0
22,304.42,9,0.529036,0.0000,0.095200,0
23,304.17,5,0.745789,0.0000,0.154000,0
24,304.08,5,0.853859,0.0000,0.156500,0
25,303.83,11,0.991944,0.0000,0.224800,0
26,303.42,11,1.014121,0.2000,0.232700,0
27,303.08,11,1.087922,0.0000,0.229600,0
28,302.83,11,1.159545,0.0000,0.227300,0
29,302.50,11,1.064201,0.0000,0.233100,0
30,302.42,11,1.092890,0.0000,0.233100,0
31,302.17,11,0.958974,0.0000,0.229300,0
32,302.16,5,0.883479,0.2000,0.162200,0
33,301.83,5,0.781266,0.0000,0.156200,0
34,301.42,5,0.656572,0.0000,0.159100,0
35,301.08,5,0.579152,0.0000,0.154400,0
36,300.83,9,0.482871,0.0000,0.099900,0
37,300.50,9,0.475542,0.0000,0.091300,0
38,300.42,5,0.531832,0.0000,0.164200,0
39,300.08,5,0.710853,0.0000,0.152400,0
40,299.83,5,0.686948,0.0000,0.158300,0
41,299.42,5,0.786040,0.0000,0.157300,0
42,299.17,5,0.808790,0.2000,0.159500,0
43,299.08,5,0.871638,0.0000,0.160000,0
44,298.67,5,0.724988,0.0000,0.160200,0
45,298.42,5,0.648363,0.0000,0.158000,0
46,298.17,5,0.602701,0.0000,0.155800,0
47,297.42,9,0.341286,0.0000,0.092800,0
48,297.08,9,0.213376,0.0000,0.094700,0
49,297.08,9,0.231374,0.0000,0.093600,0
50,296.50,17,0.067278,0.0000,0.046400,0
51,296.42,3,0.087754,0.0000,0.029300,0
52,296.08,3,0.305180,0.0000,0.028900,0
53,295.83,0,0.513293,0.0000,0.019300,0
54,295.42,19,0.806827,0.0000,0.019600,0
55,295.17,19,0.904423,0.0000,0.018400,0
56,295.08,19,0.965909,0.0000,0.019300,0
57,294.50,19,1.282579,0.0000,0.019100,0
58,294.42,12,1.258692,0.0000,0.042500,0
59,294.08,12,1.372523,0.0000,0.043900,0
60,293.83,12,1.403150,0.0000,0.039200,0
61,293.42,12,1.650034,0.0000,0.044100,0
62,293.17,12,1.558458,0.0000,0.043100,0
63,293.08,12,1.432902,0.0000,0.041300,0
64,292.50,12,1.659384,0.0000,0.041700,0
