t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,394.42,12,2.336099,0.0000,0.043500,0
1,394.11,19,1.842714,0.0000,0.017700,0
2,393.75,3,0.721210,0.0000,0.029400,0
3,393.42,5,1.051215,0.0000,0.154400,0
4,393.17,11,1.715231,0.2000,0.226500,0
5,393.08,2,2.325784,0.0000,0.404200,0
6,392.92,2,2.829367,0.8000,0.404500,0
7,392.42,14,3.120916,0.6000,0.600500,0
8,392.17,14,3.365516,0.8000,0.608200,0
9,392.08,14,3.541145,0.4000,0.602900,0
10,391.42,14,3.531147,0.6000,0.596900,0
11,391.17,14,3.403478,0.4000,0.596500,0
12,391.08,14,2.949803,0.4000,0.600500,0
13,390.83,5,2.679886,0.0000,0.155600,0
14,390.75,5,0.729043,0.0000,0.157800,0
15,390.42,9,0.504128,0.0000,0.091100,0
16,390.17,5,0.539966,0.0000,0.155900,0
17,390.08,5,0.597627,0.0000,0.157700,0
18,389.51,5,0.570408,0.0000,0.164600,0
19,389.42,5,0.561298,0.0000,0.155200,0
20,389.17,5,0.567579,0.0000,0.151900,0
21,389.08,5,0.570425,0.0000,0.154500,0
22,388.83,5,0.567006,0.0000,0.163200,0
23,388.42,5,0.567244,0.0000,0.157400,0
24,388.17,5,0.602230,0.0000,0.158000,0
25,388.08,5,0.548401,0.0000,0.160000,0
26,387.50,5,0.544337,0.0000,0.153400,0
27,387.17,5,0.542842,0.0000,0.158600,0
28,387.08,5,0.525902,0.0000,0.154900,0
29,387.00,5,0.519332,0.0000,0.156700,0
30,386.08,5,0.523860,0.0000,0.155600,0
31,385.42,5,0.524679,0.2000,0.154900,0
32,385.08,5,0.529259,0.0000,0.166100,0
33,384.50,5,0.521718,0.0000,0.150800,0
34,384.42,5,0.530606,0.0000,0.160100,0
35,384.17,5,0.528651,0.0000,0.153000,0
36,383.42,5,0.543226,0.0000,0.159500,0
37,383.17,5,0.545193,0.0000,0.157000,0
38,383.08,5,0.526457,0.0000,0.162200,0
39,382.42,5,0.529422,0.0000,0.161200,0
40,382.08,5,0.559644,0.0000,0.154600,0
41,381.83,5,0.519894,0.0000,0.157400,0
42,381.75,5,0.526058,0.0000,0.156100,0
43,381.33,5,0.529405,0.0000,0.158800,0
44,380.75,5,0.530518,0.0000,0.164400,0
45,380.33,5,0.531782,0.0000,0.157700,0
46,380.08,5,0.529549,0.0000,0.157600,0
47,379.75,5,0.520552,0.0000,0.150400,0
48,379.17,9,0.494483,0.0000,0.094400,0
49,379.08,9,0.490628,0.0000,0.092900,0
50,378.75,5,0.498082,0.0000,0.158500,0
51,378.42,9,0.489528,0.0000,0.093600,0
52,378.08,5,0.497501,0.0000,0.149000,0
53,377.75,5,0.504118,0.2000,0.161200,0
54,377.42,9,0.486484,0.2000,0.093100,0
55,377.17,9,0.292859,0.0000,0.091000,0
56,376.83,9,0.242689,0.0000,0.091400,0
57,376.75,9,0.255053,0.0000,0.092300,0
58,376.50,9,0.229733,0.0000,0.091400,0
59,376.33,17,0.171325,0.0000,0.044100,0
60,376.33,17,0.127991,0.0000,0.045300,0
61,376.08,17,0.120680,0.0000,0.044100,0
62,375.42,17,0.153319,0.0000,0.045400,0
63,375.17,17,0.165225,0.0000,0.045500,0
64,375.08,9,0.185278,0.0000,0.095100,0
65,374.75,9,0.187061,0.0000,0.094900,0
66,374.42,9,0.207178,0.0000,0.090600,0
67,374.08,9,0.226145,0.0000,0.093800,0
68,373.83,9,0.213708,0.0000,0.094900,0
69,373.75,9,0.194568,0.0000,0.093300,0
70,373.42,9,0.207892,0.0000,0.094800,0
71,373.17,9,0.209342,0.0000,0.090600,0
72,373.08,9,0.218936,0.0000,0.096100,0
73,372.75,9,0.265684,0.0000,0.094700,0
74,372.50,9,0.269752,0.0000,0.091900,0
75,372.08,9,0.275384,0.0000,0.091600,0
76,371.75,9,0.259537,0.0000,0.095800,0
77,371.08,9,0.211329,0.0000,0.094600,0
78,370.75,9,0.180056,0.0000,0.097400,0
79,370.42,17,0.151930,0.0000,0.043900,0
80,370.17,17,0.131378,0.0000,0.045200,0
81,369.42,17,0.127339,0.0000,0.044600,0
82,369.08,17,0.116168,0.0000,0.048800,0
83,368.42,17,0.122622,0.0000,0.046700,0
84,368.08,17,0.130148,0.0000,0.048000,0
85,367.83,17,0.098507,0.0000,0.042300,0
86,367.42,17,0.089315,0.0000,0.044600,0
87,367.08,17,0.042579,0.0000,0.041600,0
88,366.83,17,0.032956,0.0000,0.042300,0
89,366.75,17,0.031094,0.0000,0.042700,0
90,366.50,17,0.044703,0.0000,0.044600,0
91,366.08,17,0.022214,0.0000,0.045800,0
92,365.75,17,0.004776,0.0000,0.043400,0
93,365.50,17,0.000687,0.0000,0.047300,0
