t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,372.08,2,2.222353,0.2000,0.392500,0
1,371.75,2,2.158001,0.0000,0.400200,0
2,371.50,2,2.374128,0.4000,0.403300,0
3,371.42,2,2.438598,0.6000,0.397000,0
4,371.42,2,2.328652,0.4000,0.399900,0
5,371.17,2,2.362739,0.2000,0.388900,0
6,371.08,2,2.304809,0.6000,0.403500,0
7,370.92,2,2.187855,0.0000,0.393500,0
8,370.83,2,2.152642,0.2000,0.397600,0
9,370.75,2,2.181244,0.0000,0.400400,0
10,370.75,2,2.175876,0.6000,0.410000,0
11,370.50,2,2.001254,0.0000,0.398700,0
12,370.33,2,2.379288,0.4000,0.397000,0
13,370.17,2,2.443406,0.4000,0.395100,0
14,370.08,2,2.301138,0.2000,0.394100,0
15,369.92,2,2.191180,0.0000,0.399200,0
16,369.92,2,2.217607,0.2000,0.392300,0
17,369.75,2,2.184292,0.4000,0.398800,0
18,369.58,2,2.605493,0.4000,0.396000,0
19,369.50,2,2.621614,0.6000,0.392800,0
20,369.25,2,2.407327,0.4000,0.396500,0
21,369.08,14,3.067808,0.2000,0.606200,0
22,369.00,14,2.746126,0.2000,0.596300,0
23,368.83,14,2.878755,0.8000,0.604100,0
24,368.50,14,2.856098,0.4000,0.600500,0
25,368.42,14,2.798995,0.6000,0.605500,0
26,368.33,2,2.633180,0.6000,0.402700,0
27,368.33,14,2.736681,0.8000,0.598300,0
28,368.17,2,2.451613,0.6000,0.404100,0
29,368.17,2,2.376880,0.4000,0.396800,0
30,368.08,2,2.471335,0.4000,0.390800,0
31,368.00,2,2.454050,0.6000,0.400800,0
32,367.83,2,2.314332,0.6000,0.398800,0
33,367.58,2,2.256731,0.2000,0.401100,0
34,367.50,2,2.571753,0.0000,0.394600,0
35,367.42,2,2.546158,0.8000,0.401300,0
36,367.25,2,2.422833,0.2000,0.394900,0
37,367.17,2,2.357996,0.4000,0.394000,0
38,367.08,2,2.431492,0.6000,0.395500,0
39,367.00,2,2.561367,0.6000,0.402600,0
40,366.83,2,2.348069,0.2000,0.400300,0
41,366.75,2,2.341769,0.2000,0.399600,0
42,366.50,2,2.324875,0.2000,0.397400,0
43,366.42,2,2.772903,0.6000,0.398200,0
44,366.17,14,2.823154,1.0000,0.597200,0
45,366.08,14,2.792854,0.4000,0.602100,0
46,365.83,14,2.771273,0.8000,0.608900,0
47,365.75,14,2.740960,0.2000,0.603500,0
48,365.67,14,2.779517,0.6000,0.601800,0
49,365.50,2,2.585798,0.4000,0.399700,0
50,365.08,14,3.134616,0.4000,0.609300,0
51,364.75,14,2.980435,0.8000,0.600800,0
52,364.67,14,2.848870,0.8000,0.602500,0
53,364.50,14,2.741821,0.6000,0.604600,0
54,364.25,2,2.672309,0.4000,0.395500,0
55,364.08,2,2.701201,0.6000,0.404700,0
56,363.83,2,2.660901,0.4000,0.394300,0
57,363.75,2,2.723241,0.6000,0.391800,0
58,363.58,2,2.680800,0.4000,0.399300,0
59,363.50,2,2.549058,0.6000,0.398400,0
60,363.42,2,2.477249,0.6000,0.405000,0
61,363.33,2,2.422149,0.0000,0.392000,0
62,363.08,2,2.293463,0.2000,0.396900,0
63,362.83,2,2.060029,0.4000,0.398300,0
64,362.50,2,1.926766,0.2000,0.392800,0
65,362.42,2,1.868725,0.2000,0.394100,0
66,362.33,2,1.779854,0.4000,0.399500,0
67,362.17,2,1.656934,0.0000,0.399900,0
68,362.08,11,1.517803,0.2000,0.230300,0
69,361.83,11,1.457323,0.4000,0.230400,0
70,361.58,11,1.443898,0.0000,0.224800,0
71,361.50,11,1.482766,0.2000,0.228300,0
72,361.42,11,1.374569,0.0000,0.230600,0
73,361.25,11,1.352457,0.0000,0.225900,0
74,361.17,11,1.376423,0.0000,0.235100,0
75,361.08,11,1.392152,0.0000,0.227500,0
76,361.00,11,1.378703,0.0000,0.232300,0
77,360.83,11,1.516069,0.2000,0.230000,0
78,360.58,2,1.668371,0.0000,0.401900,0
79,360.50,11,1.599424,0.0000,0.234000,0
80,360.50,2,1.674691,0.0000,0.397600,0
81,360.25,2,1.825751,0.2000,0.395400,0
82,360.17,2,1.897646,0.0000,0.401500,0
83,360.08,2,1.938771,0.0000,0.405100,0
84,359.92,2,1.979134,0.0000,0.404000,0
85,359.83,2,1.945443,0.0000,0.398900,0
86,359.75,2,1.910909,0.4000,0.400400,0
87,359.58,2,1.901468,0.2000,0.396100,0
88,359.50,2,1.840698,0.6000,0.394200,0
89,359.33,2,1.743104,0.2000,0.392400,0
90,359.17,11,1.635657,0.0000,0.227700,0
91,359.08,11,1.398603,0.0000,0.222600,0
92,359.00,5,0.944650,0.0000,0.151500,0
