t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,455.73,14,3.234157,0.2000,0.599000,0
1,451.88,14,2.969770,0.4000,0.596800,0
2,451.08,2,2.685198,0.4000,0.394000,0
3,450.22,2,2.679236,0.2000,0.399300,0
4,450.08,2,2.402295,0.0000,0.394200,0
5,449.29,2,2.398521,0.2000,0.400800,0
6,448.89,2,2.150651,0.2000,0.401800,0
7,448.89,2,2.014778,0.2000,0.397100,0
8,448.09,2,2.001727,0.2000,0.407200,0
9,447.83,2,1.895676,0.0000,0.402400,0
10,447.50,11,1.600754,0.2000,0.228500,0
11,446.77,11,1.410992,0.0000,0.227400,0
12,446.10,11,1.090037,0.0000,0.228500,0
13,445.97,11,1.041602,0.2000,0.229400,0
14,444.97,5,0.769890,0.0000,0.153300,0
15,444.51,5,0.678392,0.0000,0.158300,0
16,444.11,5,0.760945,0.0000,0.160500,0
17,443.18,5,0.880256,0.0000,0.159000,0
18,443.11,11,0.953071,0.0000,0.231000,0
19,442.25,11,1.035928,0.0000,0.231000,0
20,442.12,11,1.050990,0.0000,0.226100,0
21,441.52,11,1.106765,0.0000,0.226400,0
22,440.52,11,1.148402,0.0000,0.226400,0
23,439.33,11,1.214689,0.0000,0.227200,0
24,438.53,11,1.219433,0.2000,0.230800,0
25,438.14,11,1.237590,0.4000,0.234900,0
26,438.07,11,1.260814,0.0000,0.228100,0
27,437.21,11,1.269733,0.0000,0.230400,0
28,437.14,11,1.084728,0.0000,0.235200,0
29,436.21,5,0.783917,0.0000,0.156700,0
30,436.08,11,1.185267,0.0000,0.233300,0
31,435.28,11,1.111180,0.0000,0.229800,0
32,434.15,11,1.110090,0.0000,0.230200,0
33,434.15,11,1.109072,0.0000,0.233000,0
34,433.55,11,1.166860,0.0000,0.231700,0
35,433.22,11,1.164626,0.0000,0.226500,0
36,431.30,11,1.157103,0.0000,0.226900,0
37,430.30,11,1.149078,0.0000,0.231400,0
38,429.84,11,1.122074,0.0000,0.226000,0
39,429.24,11,0.979274,0.0000,0.229800,0
40,428.51,5,0.734199,0.0000,0.157600,0
41,428.24,5,0.663453,0.0000,0.151200,0
42,427.38,5,0.644834,0.0000,0.160100,0
43,426.25,5,0.627725,0.0000,0.160000,0
44,425.26,5,0.601830,0.0000,0.155400,0
45,424.92,5,0.574134,0.0000,0.159800,0
46,424.26,5,0.539067,0.0000,0.154900,0
47,423.53,9,0.493167,0.0000,0.094300,0
48,423.40,9,0.447942,0.0000,0.092800,0
49,422.20,9,0.404487,0.0000,0.096900,0
50,421.34,9,0.336523,0.0000,0.091000,0
51,420.81,9,0.283294,0.0000,0.096000,0
52,420.41,9,0.249931,0.0000,0.095900,0
53,419.55,3,0.264262,0.0000,0.027200,0
54,419.48,3,0.113449,0.0000,0.029000,0
55,418.35,3,0.074627,0.0000,0.026400,0
56,417.49,3,0.065742,0.0000,0.031100,0
57,416.49,3,0.075148,0.0000,0.028500,0
58,416.43,3,0.100841,0.0000,0.030600,0
59,415.56,3,0.094949,0.0000,0.024100,0
60,415.43,3,0.071842,0.0000,0.028200,0
61,414.44,3,0.083557,0.0000,0.027900,0
62,413.44,3,0.092483,0.0000,0.026000,0
63,412.58,3,0.096726,0.0000,0.030200,0
64,411.85,3,0.097347,0.0000,0.028100,0
65,411.45,3,0.103177,0.0000,0.027000,0
66,410.72,3,0.120741,0.0000,0.029700,0
67,410.52,3,0.134406,0.0000,0.027700,0
68,409.06,3,0.130445,0.0000,0.029100,0
69,408.53,3,0.130840,0.0000,0.029400,0
70,408.00,3,0.135010,0.0000,0.030100,0
71,407.53,3,0.164452,0.0000,0.025400,0
72,405.87,3,0.174727,0.0000,0.029200,0
73,405.07,3,0.200378,0.0000,0.026000,0
74,404.68,3,0.217117,0.0000,0.027600,0
75,404.61,3,0.236147,0.0000,0.028800,0
76,403.68,3,0.253156,0.0000,0.031700,0
77,402.88,3,0.268526,0.0000,0.029700,0
78,402.68,3,0.282960,0.0000,0.030400,0
79,400.63,3,0.300712,0.0000,0.028000,0
80,399.17,3,0.311666,0.0000,0.028900,0
81,398.04,3,0.320043,0.0000,0.031200,0
82,397.97,3,0.325480,0.0000,0.026600,0
83,397.04,3,0.316010,0.0000,0.029700,0
84,396.78,3,0.299238,0.0000,0.028200,0
85,396.11,3,0.271584,0.0000,0.026300,0
86,395.12,3,0.237990,0.0000,0.029100,0
87,394.05,3,0.193917,0.0000,0.026700,0
88,393.19,3,0.144552,0.0000,0.027600,0
89,393.13,3,0.101671,0.0000,0.032500,0
90,392.06,17,0.039184,0.0000,0.045000,0
91,391.86,17,0.064595,0.0000,0.043200,0
92,391.07,9,0.183417,0.0000,0.094600,0
93,390.34,9,0.316586,0.0000,0.096400,0
94,389.87,9,0.405757,0.0000,0.091000,0
95,389.08,9,0.488031,0.0000,0.094800,0
96,388.54,5,0.573705,0.0000,0.153200,0
