t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,478.16,5,0.873024,0.0000,0.160000,0
1,478.03,5,0.909907,0.0000,0.151600,0
2,477.19,11,0.947815,0.0000,0.233000,0
3,477.12,11,0.988625,0.0000,0.227300,0
4,476.41,11,1.032331,0.0000,0.226800,0
5,476.02,11,1.132746,0.0000,0.228900,0
6,476.02,11,1.075517,0.0000,0.230900,0
7,474.98,11,1.200399,0.2000,0.232300,0
8,474.08,11,1.255367,0.0000,0.220400,0
9,473.43,11,1.327434,0.2000,0.229900,0
10,472.26,11,1.410024,0.2000,0.231200,0
11,471.23,11,1.495724,0.0000,0.226800,0
12,471.10,11,1.517638,0.0000,0.233600,0
13,470.19,11,1.368875,0.0000,0.228100,0
14,470.12,11,1.389751,0.0000,0.226900,0
15,469.22,11,1.421464,0.0000,0.236900,0
16,469.15,11,1.443469,0.0000,0.222900,0
17,468.51,11,1.448178,0.0000,0.230800,0
18,468.31,11,1.419162,0.0000,0.232400,0
19,467.14,11,1.404572,0.0000,0.230700,0
20,466.17,11,1.385191,0.0000,0.225000,0
21,466.11,11,1.362712,0.0000,0.240600,0
22,465.59,11,1.339440,0.0000,0.236500,0
23,465.14,11,1.289522,0.0000,0.230100,0
24,464.10,11,1.172929,0.0000,0.235800,0
25,464.10,11,1.232913,0.0000,0.233300,0
26,463.19,11,1.105386,0.0000,0.228400,0
27,462.48,11,1.023790,0.0000,0.228900,0
28,462.16,5,0.940457,0.0000,0.154600,0
29,461.25,5,0.847657,0.0000,0.153300,0
30,461.18,5,0.743712,0.0000,0.153900,0
31,460.21,5,0.640564,0.0000,0.160000,0
32,460.21,5,0.615677,0.0000,0.164300,0
33,458.33,5,0.591468,0.0000,0.160900,0
34,457.23,5,0.566334,0.0000,0.156000,0
35,456.26,5,0.538969,0.0000,0.152100,0
36,455.55,9,0.488766,0.0000,0.087600,0
37,455.29,9,0.429468,0.0000,0.091800,0
38,454.51,9,0.364487,0.2000,0.096100,0
