t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,588.42,8,3.963040,0.0000,0.049600,0
1,588.17,8,3.581054,0.0000,0.054400,0
2,588.08,8,3.348286,0.0000,0.053600,0
3,587.50,8,4.377988,0.0000,0.055700,0
4,587.42,8,3.705107,0.0000,0.054000,0
5,587.08,8,3.310204,0.0000,0.050400,0
6,586.83,8,3.055288,0.0000,0.051900,0
7,586.42,8,2.830992,0.0000,0.052900,0
8,586.08,8,2.903991,0.0000,0.053000,0
9,585.83,8,2.639819,0.0000,0.051100,0
10,585.42,8,2.386613,0.0000,0.053000,0
11,585.17,12,2.081763,0.0000,0.042500,0
12,585.08,12,1.763372,0.0000,0.046200,0
13,584.50,12,1.543386,0.0000,0.043400,0
14,584.42,12,1.480237,0.0000,0.043700,0
15,584.08,12,1.282391,0.0000,0.042800,0
16,583.75,19,1.084671,0.0000,0.019800,0
17,583.42,19,0.918535,0.0000,0.019200,0
18,583.08,19,0.788306,0.0000,0.019400,0
19,582.42,0,0.602565,0.0000,0.019000,0
20,582.42,0,0.397544,0.0000,0.019200,0
21,582.17,3,0.262533,0.0000,0.027700,0
22,582.08,3,0.076029,0.0000,0.031400,0
23,581.83,9,0.240441,0.0000,0.101400,0
24,581.42,9,0.516313,0.0000,0.095600,0
25,581.17,5,0.640171,0.0000,0.149200,0
26,581.08,5,0.819870,0.0000,0.160000,0
27,580.83,5,0.921711,0.2000,0.157700,0
28,580.42,11,0.997717,0.0000,0.235000,0
29,580.08,11,1.017825,0.0000,0.232900,0
30,579.75,11,1.067394,0.0000,0.232000,0
31,579.42,11,1.095835,0.0000,0.236000,0
32,579.17,11,1.019769,0.0000,0.228200,0
33,579.08,11,0.979178,0.0000,0.224400,0
34,578.83,5,0.907270,0.0000,0.155700,0
35,578.50,5,0.832583,0.0000,0.155900,0
36,578.42,5,0.828101,0.0000,0.158300,0
37,578.17,11,1.001765,0.0000,0.227700,0
38,578.08,11,1.086186,0.2000,0.229000,0
39,577.50,5,0.888383,0.0000,0.162500,0
40,577.42,11,0.970958,0.0000,0.236800,0
41,576.83,5,0.818133,0.0000,0.159200,0
42,576.42,5,0.669581,0.0000,0.158600,0
43,576.08,5,0.625826,0.0000,0.157900,0
44,575.50,9,0.458544,0.0000,0.091000,0
45,575.42,9,0.490836,0.0000,0.094400,0
46,575.08,9,0.359803,0.0000,0.089700,0
47,574.83,9,0.237679,0.0000,0.088500,0
48,574.42,17,0.047801,0.0000,0.044500,0
49,574.17,3,0.243623,0.0000,0.027300,0
50,573.50,0,0.638756,0.0000,0.020600,0
51,573.42,0,0.623343,0.0000,0.023200,0
52,573.08,19,0.812157,0.0000,0.017500,0
53,572.83,19,0.942702,0.0000,0.018500,0
54,572.42,19,1.157306,0.0000,0.017900,0
55,572.17,19,1.249856,0.0000,0.020800,0
56,572.08,19,1.205250,0.0000,0.020300,0
57,571.50,12,1.426902,0.0000,0.041800,0
58,571.42,12,1.350828,0.0000,0.039200,0
59,571.08,12,1.343468,0.0000,0.043800,0
60,570.83,12,1.326650,0.2000,0.044100,0
61,570.42,12,1.418833,0.0000,0.039300,0
62,570.17,12,1.471694,0.0000,0.042900,0
63,570.08,19,1.126558,0.0000,0.017900,0
64,569.58,19,1.166572,0.0000,0.019900,0
