t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,418.69,9,0.396843,0.0000,0.095300,0
1,418.16,9,0.480082,0.0000,0.092200,0
2,418.09,5,0.823504,0.0000,0.162300,0
3,417.89,11,1.215395,0.0000,0.227300,0
4,417.82,2,2.112193,0.0000,0.396700,0
5,417.16,2,1.952760,0.2000,0.402100,0
6,417.09,2,1.689104,0.0000,0.398000,0
7,416.83,2,1.755587,0.0000,0.397400,0
8,416.70,2,1.702819,0.2000,0.397100,0
9,416.16,2,2.006659,0.2000,0.400400,0
10,416.10,2,2.177622,0.2000,0.397800,0
11,415.83,2,2.285132,0.2000,0.388700,0
12,415.10,2,2.064193,0.4000,0.399600,0
13,414.84,2,1.950356,0.2000,0.393700,0
14,414.11,2,1.889856,0.0000,0.397000,0
15,413.97,11,1.659443,0.0000,0.233700,0
16,413.11,11,1.213854,0.0000,0.217600,0
17,412.25,5,0.876249,0.0000,0.155700,0
18,412.11,11,0.946210,0.0000,0.230900,0
19,411.78,2,2.011778,0.0000,0.388900,0
20,411.25,2,1.669625,0.4000,0.405900,0
21,410.99,11,1.384575,0.0000,0.233800,0
22,409.92,11,1.020365,0.0000,0.228900,0
23,408.93,5,0.915596,0.0000,0.153700,0
24,408.46,5,0.834435,0.0000,0.162500,0
25,407.20,5,0.731536,0.0000,0.158200,0
26,407.07,5,0.714236,0.4000,0.154700,0
27,406.14,5,0.616294,0.0000,0.160700,0
28,406.01,5,0.519448,0.0000,0.156000,0
29,405.14,5,0.529095,0.0000,0.159000,0
30,404.54,9,0.462825,0.0000,0.093700,0
31,404.15,9,0.447303,0.0000,0.095200,0
32,403.22,9,0.459539,0.0000,0.094800,0
33,402.55,9,0.437966,0.0000,0.094200,0
34,401.56,9,0.355742,0.0000,0.093900,0
35,401.03,17,0.083856,0.0000,0.047300,0
36,399.57,17,0.154394,0.0000,0.044700,0
37,399.10,9,0.209993,0.0000,0.093500,0
38,398.17,9,0.277359,0.0000,0.094700,0
39,398.11,9,0.330000,0.0000,0.091000,0
40,397.11,9,0.389475,0.0000,0.097000,0
41,396.25,9,0.446822,0.0000,0.095400,0
42,396.18,9,0.488285,0.0000,0.095800,0
43,395.25,5,0.530137,0.0000,0.157400,0
44,395.19,5,0.561715,0.0000,0.156000,0
45,393.33,5,0.609505,0.0000,0.156700,0
46,392.20,5,0.646806,0.0000,0.157500,0
47,391.20,5,0.683167,0.0000,0.157500,0
48,390.87,5,0.712720,0.0000,0.158900,0
49,390.21,5,0.730764,0.0000,0.157300,0
50,389.61,5,0.777194,0.2000,0.158600,0
51,389.41,5,0.737988,0.0000,0.158900,0
52,388.55,5,0.852630,0.0000,0.163400,0
53,388.35,5,0.915719,0.0000,0.157300,0
54,387.62,11,0.971916,0.0000,0.224000,0
55,387.15,11,1.015245,0.0000,0.230700,0
56,386.55,11,1.039776,0.0000,0.231000,0
57,386.29,11,1.051622,0.0000,0.225300,0
58,385.49,11,1.052959,0.0000,0.234700,0
59,385.29,11,1.047185,0.0000,0.227300,0
60,384.29,11,1.034654,0.0000,0.225100,0
61,383.36,11,1.019220,0.0000,0.217900,0
62,382.83,11,1.003835,0.0000,0.228700,0
63,382.36,11,0.985330,0.0000,0.229700,0
64,381.57,11,0.967899,0.0000,0.223600,0
65,381.37,5,0.892971,0.0000,0.159400,0
66,380.37,5,0.875910,0.0000,0.155000,0
67,379.11,11,0.948536,0.0000,0.225300,0
68,378.37,11,1.023649,0.0000,0.235200,0
69,377.91,11,1.095757,0.0000,0.232100,0
70,377.44,11,1.163415,0.0000,0.219500,0
71,376.51,11,1.225752,0.4000,0.231300,0
72,375.72,11,1.282810,0.0000,0.230800,0
73,375.52,11,1.338206,0.2000,0.232800,0
74,374.59,11,1.385961,0.0000,0.229800,0
75,374.45,11,1.436290,0.0000,0.235900,0
76,373.46,11,1.470797,0.0000,0.234600,0
77,372.52,11,1.498150,0.2000,0.232700,0
78,371.86,11,1.497604,0.2000,0.226300,0
79,371.53,11,1.199313,0.0000,0.230500,0
80,370.13,5,0.943164,0.0000,0.155400,0
81,369.53,17,0.437718,0.0000,0.045000,0
82,367.94,17,0.106297,0.0000,0.042700,0
83,367.67,17,0.092990,0.0000,0.047700,0
84,366.87,17,0.066569,0.0000,0.047900,0
85,366.67,17,0.051471,0.0000,0.042300,0
86,365.68,17,0.037955,0.0000,0.045200,0
87,364.15,17,0.020087,0.0000,0.043500,0
88,362.62,17,0.003755,0.0000,0.045500,0
89,361.75,17,0.012907,0.0000,0.043800,0
90,360.89,17,0.024972,0.0000,0.047500,0
91,360.09,17,0.035857,0.0000,0.044000,0
92,359.83,17,0.043312,0.0000,0.043000,0
93,358.83,17,0.051930,0.0000,0.045700,0
94,357.83,3,0.061111,0.0000,0.030100,0
95,357.23,3,0.069763,0.0000,0.028700,0
96,356.10,3,0.086391,0.0000,0.026500,0
97,355.24,3,0.090680,0.0000,0.029500,0
98,355.11,3,0.089558,0.0000,0.028200,0
99,354.11,3,0.093511,0.0000,0.029000,0
100,353.91,3,0.096171,0.0000,0.029800,0
101,353.05,3,0.099016,0.0000,0.028800,0
102,352.18,3,0.101661,0.0000,0.027200,0
103,351.25,3,0.105163,0.0000,0.029700,0
104,351.05,3,0.105605,0.0000,0.028100,0
105,350.19,3,0.101846,0.0000,0.028200,0
106,350.12,3,0.090229,0.0000,0.028300,0
107,349.12,3,0.065244,0.0000,0.026700,0
108,349.06,17,0.015595,0.0000,0.047100,0
109,348.06,17,0.101321,0.0000,0.050200,0
110,347.99,9,0.218953,0.0000,0.095600,0
111,347.13,9,0.389500,0.0000,0.090200,0
112,346.86,9,0.477127,0.0000,0.094100,0
113,346.13,5,0.604133,0.0000,0.155200,0
114,345.40,5,0.709598,0.0000,0.161000,0
115,345.07,5,0.844333,0.0000,0.167100,0
116,344.20,5,0.931409,0.0000,0.162600,0
117,344.07,11,0.979359,0.2000,0.231900,0
118,343.14,11,0.978322,0.0000,0.226300,0
119,343.07,11,0.958288,0.0000,0.230900,0
120,342.08,5,0.925183,0.0000,0.158700,0
121,341.94,5,0.876874,0.0000,0.155700,0
122,341.15,5,0.811181,0.0000,0.160600,0
123,340.48,5,0.709645,0.0000,0.161300,0
124,340.15,5,0.602736,0.0000,0.158400,0
125,339.22,9,0.456351,0.2000,0.095000,0
126,339.08,9,0.322471,0.0000,0.095500,0
127,338.15,9,0.206487,0.0000,0.093900,0
128,338.09,17,0.120351,0.0000,0.045500,0
129,337.09,17,0.066917,0.0000,0.044700,0
130,337.02,17,0.057049,0.0000,0.047500,0
131,336.09,17,0.065805,0.0000,0.044500,0
132,335.56,17,0.078810,0.0000,0.043300,0
133,335.10,17,0.084584,0.0000,0.044900,0
134,334.23,17,0.092579,0.0000,0.044600,0
135,334.10,17,0.092924,0.0000,0.044600,0
136,333.17,17,0.096820,0.0000,0.046200,0
137,332.17,17,0.093499,0.0000,0.043600,0
138,331.24,17,0.088369,0.0000,0.043900,0
139,331.11,17,0.075922,0.0000,0.043200,0
140,330.18,17,0.069500,0.0000,0.045100,0
