t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,43.86,2,2.709004,1.0000,0.395800,0
1,43.86,2,2.655829,0.8000,0.396500,0
2,43.29,14,2.815655,1.0000,0.600400,0
3,43.29,14,2.841480,1.0000,0.605500,0
4,43.04,14,2.854136,0.4000,0.599600,0
5,43.04,14,2.834026,0.2000,0.607700,0
6,42.16,14,2.817292,1.0000,0.602200,0
7,42.03,14,2.787334,0.6000,0.606500,0
8,42.03,14,2.845570,1.0000,0.607500,0
9,41.71,14,2.825679,0.4000,0.593900,0
10,40.64,14,2.811906,0.4000,0.599600,0
11,40.64,14,2.842335,1.0000,0.600400,0
12,40.07,14,2.851604,0.4000,0.597400,0
13,39.63,14,2.888602,0.6000,0.609200,0
14,39.63,14,2.880054,0.8000,0.602600,0
15,39.13,14,2.889505,0.4000,0.597800,0
16,39.00,14,2.874574,0.8000,0.595900,0
17,39.00,14,2.883957,1.0000,0.597000,0
18,38.12,14,2.981720,0.8000,0.607000,0
19,38.12,14,2.917447,0.6000,0.600900,0
20,37.68,14,3.081750,1.0000,0.606000,0
21,37.68,14,3.033748,0.4000,0.602100,0
22,37.18,14,3.027445,0.6000,0.607800,0
23,37.11,14,3.022223,0.6000,0.599500,0
24,37.05,14,3.030921,0.4000,0.604900,0
25,37.05,14,3.004449,0.6000,0.610700,0
26,36.17,14,3.020031,0.6000,0.606900,0
27,36.04,14,2.961289,0.8000,0.607700,0
28,36.04,14,3.007253,0.6000,0.602600,0
29,35.16,14,3.017690,0.4000,0.603600,0
30,35.16,14,3.000557,0.0000,0.601700,0
31,34.72,14,3.019787,0.6000,0.601300,0
32,34.72,14,2.994388,0.4000,0.610700,0
33,34.34,14,2.963142,0.8000,0.611300,0
34,34.34,14,2.900446,0.6000,0.599700,0
35,33.46,14,2.912248,0.8000,0.602000,0
36,33.46,14,2.897661,0.4000,0.595300,0
37,33.40,14,2.996294,0.4000,0.599400,0
38,32.46,14,4.531600,0.2000,0.601700,0
39,32.39,14,4.041969,0.8000,0.602500,0
40,32.39,14,4.011896,0.2000,0.599400,0
41,31.51,14,4.061695,1.0000,0.603100,0
42,31.39,6,4.193311,0.8000,0.769700,0
43,31.39,6,4.186623,0.6000,0.777300,0
44,30.51,6,4.207207,0.4000,0.777300,0
45,30.25,6,4.284852,0.8000,0.776800,0
46,30.25,6,4.336604,0.4000,0.771600,0
47,30.13,6,4.468056,0.8000,0.772000,0
48,29.69,6,4.527200,1.0000,0.785900,0
49,29.69,6,4.492227,1.0000,0.771600,0
50,29.25,6,4.511117,0.6000,0.771600,0
51,29.25,6,4.499288,0.6000,0.781500,0
52,29.12,6,4.517589,1.0000,0.771100,0
53,28.49,6,4.548687,1.0000,0.767300,0
54,28.18,6,4.585973,0.8000,0.776200,0
55,28.18,6,4.650478,0.8000,0.774900,0
56,27.55,6,4.636769,0.8000,0.770900,0
57,27.49,6,4.504190,0.8000,0.778100,0
58,27.30,6,4.334891,0.4000,0.774300,0
59,27.30,6,4.356639,0.8000,0.758100,0
60,26.30,6,4.201800,0.6000,0.772600,0
61,26.30,6,4.368103,1.0000,0.771200,0
62,25.79,6,4.200807,0.6000,0.773800,0
63,25.54,14,4.142170,0.6000,0.592700,0
64,25.54,14,4.106733,0.6000,0.594100,0
65,24.79,14,4.065957,1.0000,0.606600,0
66,24.54,14,3.912787,0.8000,0.607700,0
67,24.54,14,3.983735,0.4000,0.592400,0
68,24.35,14,3.884921,0.6000,0.601400,0
69,24.35,14,3.900068,1.0000,0.600600,0
70,23.91,14,4.082320,1.0000,0.597800,0
71,23.60,14,4.057971,1.0000,0.596200,0
72,23.60,14,3.936205,0.8000,0.603100,0
73,22.47,14,3.938097,0.4000,0.596200,0
74,22.41,6,4.256685,0.8000,0.767300,0
75,22.41,6,4.442680,0.6000,0.780200,0
76,21.59,6,5.029396,0.8000,0.780100,0
77,21.59,6,5.165867,0.8000,0.780500,0
78,21.28,6,5.191022,1.0000,0.770800,0
79,21.28,6,5.132400,1.0000,0.773100,0
80,20.96,6,4.836113,0.6000,0.769900,0
81,20.96,6,4.999554,0.6000,0.773100,0
82,20.52,6,4.738993,0.8000,0.770300,0
83,20.27,6,4.761097,0.6000,0.769200,0
84,20.27,6,4.668959,0.6000,0.772200,0
85,19.71,6,4.645452,0.6000,0.778400,0
86,19.52,6,4.730265,1.0000,0.773200,0
87,19.52,6,4.799227,0.8000,0.776000,0
88,18.52,6,4.946261,0.4000,0.773600,0
89,18.52,6,5.039575,0.6000,0.775000,0
90,18.39,6,5.113452,0.8000,0.772100,0
91,18.39,6,5.103800,0.8000,0.771900,0
92,18.02,6,5.084998,0.8000,0.774800,0
93,18.02,6,4.985926,0.4000,0.771600,0
94,17.39,14,4.531213,0.8000,0.603500,0
95,17.39,14,4.184209,0.8000,0.599700,0
96,16.52,14,3.792342,0.6000,0.601300,0
97,16.39,14,3.729138,0.6000,0.599300,0
98,16.39,14,3.751499,0.4000,0.601500,0
99,15.39,14,3.959687,0.2000,0.611100,0
100,15.39,14,3.888936,0.2000,0.604200,0
101,14.52,14,4.139719,0.2000,0.594100,0
102,14.39,6,4.335753,0.4000,0.772000,0
103,13.52,6,4.572206,1.0000,0.776200,0
104,13.39,6,4.718355,1.0000,0.775200,0
105,13.39,6,4.987305,0.8000,0.774400,0
106,12.83,6,5.209457,0.8000,0.779500,0
107,12.58,6,5.442010,0.8000,0.773800,0
108,12.58,6,5.578186,0.6000,0.772500,0
109,12.02,6,5.986372,1.0000,0.769800,0
110,11.58,15,6.315250,0.8000,0.858700,0
111,11.58,15,6.381458,1.0000,0.856800,0
112,11.14,15,6.508951,0.6000,0.858300,0
113,10.83,15,6.646523,0.8000,0.858100,0
114,10.58,15,6.785629,0.8000,0.856000,0
115,10.58,15,6.868576,0.8000,0.857600,0
116,9.83,15,6.989001,0.6000,0.859800,0
117,9.65,15,7.215314,1.0000,0.850400,0
118,9.46,15,7.315964,1.0000,0.851200,0
119,9.46,15,7.269071,1.0000,0.856100,0
120,9.02,15,7.405331,0.8000,0.862400,0
121,8.57,15,7.566890,0.8000,0.846800,0
122,8.03,15,7.743086,1.0000,0.860500,0
123,7.53,15,8.160871,1.0000,0.854500,0
