t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,38.42,2,2.498576,0.2000,0.394300,0
1,38.08,2,2.498124,0.2000,0.406400,0
2,38.08,2,2.446855,0.4000,0.404000,0
3,37.75,2,2.442737,0.2000,0.397800,0
4,37.42,2,2.473382,0.6000,0.403400,0
5,37.42,2,2.457429,0.4000,0.387500,0
6,37.08,2,2.443977,0.4000,0.398800,0
7,37.08,2,2.422013,0.0000,0.393300,0
8,36.75,2,2.422866,0.0000,0.393100,0
9,36.42,2,2.411456,0.6000,0.400700,0
10,36.17,2,2.427346,0.8000,0.401600,0
11,36.17,2,2.394160,0.6000,0.411900,0
12,35.75,2,2.423448,0.2000,0.394500,0
13,35.42,2,2.445960,0.4000,0.400200,0
14,35.42,2,2.425170,0.6000,0.399200,0
15,35.08,2,2.373964,0.6000,0.397000,0
16,35.08,2,2.425100,0.4000,0.389100,0
17,34.75,2,2.374904,0.6000,0.393600,0
18,34.42,2,2.366550,0.4000,0.405700,0
19,34.42,2,2.407785,0.2000,0.395600,0
20,34.08,2,2.348206,0.0000,0.399100,0
21,33.58,2,2.343203,0.0000,0.404800,0
22,33.50,2,2.370642,0.6000,0.398900,0
23,33.42,2,2.388370,0.4000,0.402900,0
24,33.08,2,2.377898,0.4000,0.399400,0
25,33.08,2,2.383574,0.2000,0.404900,0
26,32.75,2,2.417776,0.8000,0.395200,0
27,32.42,2,2.453427,0.4000,0.399600,0
28,32.17,2,2.474608,0.6000,0.401100,0
29,32.05,2,2.504739,0.4000,0.408700,0
30,32.05,2,2.520736,0.2000,0.394100,0
31,31.30,2,2.562354,0.2000,0.399100,0
32,31.30,2,2.578765,0.0000,0.393100,0
33,31.05,2,2.597003,0.4000,0.412200,0
34,30.48,2,2.636446,0.8000,0.397200,0
35,30.23,2,2.693030,0.4000,0.392000,0
36,29.92,2,2.714475,0.4000,0.398500,0
37,29.54,14,2.790454,0.6000,0.602300,0
38,29.36,14,2.860166,0.4000,0.613100,0
39,29.29,14,2.917806,0.6000,0.603400,0
40,29.11,14,2.964124,0.8000,0.604300,0
41,29.11,14,3.023998,0.6000,0.604000,0
42,28.29,14,3.105419,0.8000,0.610600,0
43,28.10,14,3.157300,0.6000,0.603600,0
44,27.92,14,3.244183,0.6000,0.614700,0
45,27.54,14,3.314247,0.2000,0.602100,0
