t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,428.09,11,1.125282,0.0000,0.230600,0
1,427.83,11,1.300087,0.0000,0.224600,0
2,427.70,11,1.098566,0.0000,0.235600,0
3,427.10,11,1.040002,0.0000,0.223800,0
4,426.83,11,1.295464,0.0000,0.236200,0
5,426.23,11,1.165652,0.0000,0.228200,0
6,425.90,11,1.478046,0.0000,0.221600,0
7,425.17,11,1.515762,0.0000,0.227100,0
8,424.97,2,1.696039,0.2000,0.393400,0
9,424.11,2,2.164691,0.2000,0.397300,0
10,423.38,2,2.810823,0.6000,0.399300,0
11,422.98,14,3.177577,0.6000,0.602800,0
12,421.99,14,3.393263,0.6000,0.594700,0
13,421.45,14,3.391009,0.4000,0.612900,0
14,421.06,14,3.435102,0.4000,0.604300,0
15,420.13,14,3.152777,0.6000,0.608500,0
16,419.46,14,3.081749,0.4000,0.599700,0
17,419.20,14,2.912414,0.2000,0.596500,0
18,419.00,2,2.402914,0.0000,0.394700,0
19,418.47,2,1.979133,0.0000,0.397100,0
20,418.20,2,1.789475,0.0000,0.399700,0
21,417.14,11,1.524657,0.0000,0.230400,0
22,417.01,11,1.366926,0.0000,0.231300,0
23,416.14,5,0.969995,0.0000,0.159100,0
24,415.55,9,0.415151,0.0000,0.089800,0
25,415.21,5,1.101960,0.2000,0.156400,0
26,414.29,11,1.066512,0.0000,0.225900,0
27,413.55,11,1.079756,0.0000,0.229200,0
28,412.56,11,1.055486,0.0000,0.232400,0
29,412.09,11,1.021502,0.0000,0.232000,0
30,411.10,11,0.977746,0.0000,0.234300,0
31,410.57,5,0.933793,0.0000,0.163000,0
32,410.10,5,0.924451,0.0000,0.153600,0
33,409.11,11,0.954761,0.0000,0.223100,0
34,408.64,11,0.967520,0.0000,0.227400,0
35,408.18,11,0.965390,0.2000,0.229100,0
36,407.25,11,0.955402,0.0000,0.230300,0
37,405.26,11,0.952945,0.0000,0.234000,0
38,404.26,11,0.956786,0.0000,0.220300,0
39,403.53,5,0.930528,0.0000,0.156600,0
40,403.20,5,0.934345,0.0000,0.160100,0
41,402.47,11,0.951519,0.0000,0.222400,0
42,402.20,11,0.967421,0.0000,0.230200,0
43,401.41,11,0.991227,0.0000,0.222600,0
44,400.54,11,0.986774,0.2000,0.228300,0
45,400.28,11,0.992323,0.0000,0.231100,0
46,399.61,11,0.993064,0.0000,0.228800,0
47,399.28,5,0.653637,0.0000,0.157900,0
48,398.55,17,0.196317,0.0000,0.047100,0
49,398.15,3,0.125511,0.0000,0.026700,1
50,397.49,3,0.122156,0.0000,0.030700,1
51,397.42,3,0.123082,0.0000,0.029100,0
52,396.49,3,0.132162,0.0000,0.029100,0
53,395.83,3,0.142125,0.0000,0.027800,0
54,395.36,3,0.153497,0.0000,0.028100,0
55,394.57,3,0.162788,0.0000,0.029500,0
56,394.24,3,0.167960,0.0000,0.030100,0
57,393.37,3,0.133870,0.0000,0.029700,0
58,392.38,3,0.169034,0.0000,0.027900,0
59,391.91,3,0.173705,0.0000,0.029400,0
60,391.51,3,0.201482,0.0000,0.027900,0
61,390.45,3,0.212460,0.2000,0.028600,0
62,390.25,3,0.225666,0.0000,0.028300,0
63,389.26,3,0.223334,0.0000,0.027700,0
64,388.46,3,0.228913,0.0000,0.025900,0
65,388.26,3,0.224135,0.0000,0.025300,0
66,387.66,3,0.206991,0.0000,0.028500,0
67,386.80,3,0.194402,0.0000,0.027900,0
68,386.54,3,0.153896,0.0000,0.027100,0
69,386.47,3,0.158762,0.0000,0.028900,0
70,385.81,3,0.165249,0.0000,0.028000,0
71,385.41,3,0.172272,0.0000,0.030300,0
72,384.61,3,0.178461,0.0000,0.029900,0
73,383.61,3,0.183100,0.0000,0.029200,0
74,382.82,3,0.194478,0.0000,0.028600,0
75,382.55,3,0.199380,0.0000,0.028000,0
76,381.56,3,0.200325,0.0000,0.028600,0
77,379.90,3,0.200031,0.0000,0.026300,0
78,379.56,3,0.197338,0.0000,0.032100,0
79,378.64,3,0.191271,0.0000,0.028600,0
80,378.57,3,0.198058,0.0000,0.028300,0
81,377.57,3,0.198667,0.0000,0.029300,0
82,376.11,3,0.185744,0.0000,0.026200,0
83,376.11,3,0.194985,0.0000,0.025200,0
84,374.12,3,0.196362,0.0000,0.029100,0
85,374.12,3,0.176026,0.0000,0.025500,0
86,373.13,3,0.204423,0.0000,0.028500,0
87,372.79,3,0.215886,0.0000,0.029400,0
88,371.80,3,0.222421,0.0000,0.025700,0
89,370.93,3,0.206771,0.0000,0.029100,0
90,370.20,3,0.218156,0.0000,0.030800,0
91,370.14,3,0.218960,0.0000,0.028100,0
92,369.14,3,0.211880,0.0000,0.030800,0
93,368.81,3,0.197504,0.0000,0.026200,0
94,368.08,3,0.221534,0.0000,0.028300,0
95,367.28,3,0.197127,0.0000,0.027700,0
96,367.15,3,0.178055,0.0000,0.026400,0
97,366.89,3,0.165536,0.0000,0.029100,0
98,366.09,3,0.188665,0.0000,0.028600,0
99,365.89,3,0.193868,0.0000,0.027500,0
100,364.23,3,0.176028,0.0000,0.029500,0
101,363.10,3,0.132720,0.0000,0.029800,0
102,362.84,3,0.068478,0.0000,0.029200,0
103,362.11,17,0.006690,0.0000,0.046000,0
104,361.24,17,0.026582,0.0000,0.042900,0
105,360.98,17,0.056823,0.0000,0.047700,0
106,360.05,17,0.085400,0.0000,0.050500,0
107,359.85,17,0.110088,0.0000,0.042600,0
108,359.18,17,0.133228,0.0000,0.046200,0
109,358.19,17,0.158571,0.0000,0.043300,0
110,358.12,9,0.183292,0.0000,0.093600,0
111,357.06,9,0.203940,0.2000,0.093900,0
112,356.99,9,0.207875,0.0000,0.089100,0
113,356.06,9,0.216444,0.0000,0.093400,0
114,355.93,9,0.217374,0.0000,0.099400,0
115,355.13,9,0.203239,0.0000,0.088300,0
116,354.47,17,0.171348,0.0000,0.044200,0
117,354.14,17,0.134908,0.0000,0.044600,0
118,353.21,17,0.092466,0.0000,0.046800,0
119,353.14,17,0.088875,0.0000,0.044700,0
120,352.21,17,0.051591,0.0000,0.047500,0
121,352.08,17,0.018473,0.0000,0.044600,0
122,351.15,17,0.007428,0.0000,0.047700,0
123,350.22,17,0.025198,0.0000,0.046300,0
124,350.09,17,0.045213,0.0000,0.045000,0
125,349.16,3,0.057864,0.0000,0.028400,0
126,349.09,3,0.081697,0.0000,0.028200,0
127,348.10,3,0.098218,0.0000,0.028400,0
128,348.03,3,0.105233,0.0000,0.028000,0
129,347.10,3,0.096154,0.0000,0.031700,0
130,346.64,3,0.084903,0.0000,0.030000,0
131,346.17,3,0.100222,0.0000,0.027700,0
132,346.11,3,0.120646,0.0000,0.029100,0
133,345.18,3,0.125785,0.0000,0.029800,0
134,344.11,3,0.119876,0.0000,0.029800,0
135,343.25,3,0.111566,0.0000,0.030400,0
136,343.12,3,0.098730,0.0000,0.029700,0
137,342.19,3,0.083852,0.0000,0.028000,0
138,342.12,3,0.065107,0.0000,0.027900,0
139,341.13,17,0.051438,0.0000,0.045300,0
140,341.13,17,0.035846,0.0000,0.048600,0
141,340.20,17,0.013468,0.0000,0.043300,0
142,339.27,17,0.013448,0.0000,0.042700,0
143,338.27,17,0.020227,0.0000,0.044800,0
144,337.54,17,0.027100,0.0000,0.045600,0
145,337.21,17,0.016508,0.0000,0.045400,0
146,336.21,17,0.016319,0.0000,0.043400,0
147,335.35,3,0.055390,0.0000,0.026000,0
148,334.49,3,0.102622,0.0000,0.026400,0
149,333.29,3,0.145285,0.0000,0.025200,0
150,332.56,3,0.166994,0.0000,0.028500,0
151,332.16,3,0.200302,0.0000,0.026900,0
152,331.30,3,0.198180,0.0000,0.027100,0
153,330.31,3,0.188387,0.0000,0.027200,0
154,329.84,3,0.180075,0.0000,0.027000,0
155,329.31,3,0.166903,0.0000,0.029600,0
156,328.51,3,0.156970,0.0000,0.028500,0
157,328.38,3,0.154377,0.0000,0.030200,0
158,327.39,3,0.144269,0.0000,0.029300,0
159,326.39,3,0.132467,0.0000,0.029000,0
160,325.86,3,0.129562,0.0000,0.028000,0
161,325.39,3,0.123273,0.0000,0.027600,0
162,324.53,3,0.111415,0.0000,0.026700,0
163,324.40,3,0.116367,0.0000,0.027900,0
164,323.40,3,0.109764,0.0000,0.031300,0
165,322.47,3,0.102468,0.0000,0.028100,0
166,321.54,3,0.093060,0.0000,0.028900,0
167,321.48,3,0.094003,0.0000,0.028600,0
168,320.48,3,0.083096,0.0000,0.030800,0
169,319.55,3,0.101937,0.0000,0.030200,0
170,319.49,3,0.110566,0.0000,0.026600,0
171,318.49,3,0.122696,0.0000,0.028000,0
172,317.49,3,0.139523,0.0000,0.027900,0
173,316.83,3,0.153892,0.0000,0.026400,0
174,316.43,3,0.166292,0.0000,0.028600,0
175,315.63,3,0.179417,0.0000,0.028200,0
176,315.57,3,0.195033,0.0000,0.027700,0
177,314.57,3,0.207039,0.0000,0.028000,0
178,313.11,3,0.216643,0.0000,0.027100,0
