t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,465.12,11,1.543877,0.2000,0.222800,0
1,464.85,2,2.231348,0.4000,0.392900,0
2,464.12,2,2.181187,0.4000,0.397700,0
3,463.92,2,2.568633,0.6000,0.396800,0
4,463.19,14,2.767536,0.2000,0.611100,0
5,462.53,14,3.193093,0.8000,0.599800,0
6,462.13,14,3.697623,0.8000,0.604100,0
7,461.73,14,3.763133,0.6000,0.613100,0
8,458.88,14,3.455539,0.4000,0.595700,0
9,457.48,14,3.596201,0.8000,0.604400,0
10,457.09,14,3.710992,0.8000,0.594800,0
11,456.82,14,3.853443,0.6000,0.600400,0
12,456.29,14,3.964818,0.6000,0.607000,0
13,456.09,14,4.025003,0.0000,0.597100,0
14,455.23,14,4.050095,1.0000,0.599100,0
15,454.50,11,5.587066,0.0000,0.225200,0
16,454.10,11,1.037812,0.0000,0.232700,0
17,453.37,11,1.055843,0.0000,0.228600,0
18,453.10,11,1.094435,0.0000,0.226600,0
19,451.18,11,1.142360,0.0000,0.228700,0
20,451.11,11,1.247440,0.0000,0.231700,0
21,450.38,11,1.150947,0.0000,0.230800,0
22,449.65,11,1.208986,0.0000,0.230600,0
23,448.66,11,1.147022,0.0000,0.226400,0
24,447.59,11,1.098593,0.0000,0.231800,0
25,447.20,11,1.030332,0.0000,0.230200,0
26,446.66,11,1.001735,0.0000,0.229400,0
27,446.20,11,0.974682,0.0000,0.229500,0
28,445.27,11,0.968242,0.0000,0.221900,0
29,443.28,11,0.974633,0.0000,0.228400,0
30,442.48,11,0.973940,0.0000,0.224700,0
31,442.35,11,0.979685,0.0000,0.233400,0
32,441.29,11,0.965923,0.0000,0.227300,0
33,440.56,11,0.951204,0.0000,0.232700,0
34,439.56,11,0.958194,0.0000,0.228600,0
35,439.23,5,0.786330,0.0000,0.159100,0
36,439.23,5,0.921647,0.0000,0.158500,0
37,438.30,5,0.716082,0.0000,0.159600,0
38,437.57,5,0.817617,0.0000,0.159000,0
39,437.30,5,0.790625,0.0000,0.153000,0
40,436.31,5,0.748743,0.0000,0.161300,0
41,435.31,5,0.698175,0.0000,0.156200,0
42,434.58,5,0.675155,0.0000,0.154200,0
43,434.32,5,0.654614,0.0000,0.155700,0
44,433.52,5,0.637440,0.0000,0.160900,0
45,433.32,5,0.589039,0.0000,0.157700,0
46,432.32,5,0.533158,0.0000,0.157500,0
47,431.40,9,0.464384,0.0000,0.092400,0
48,430.86,9,0.380805,0.0000,0.094100,0
49,430.40,9,0.352843,0.0000,0.097300,0
50,429.54,9,0.328421,0.0000,0.095700,0
51,428.41,9,0.465887,0.0000,0.099100,0
52,427.41,17,0.133395,0.0000,0.041000,0
53,426.42,3,0.226863,0.0000,0.026400,0
54,425.42,3,0.218476,0.0000,0.028000,0
55,424.49,3,0.197860,0.0000,0.029600,0
56,423.83,3,0.195505,0.0000,0.028000,0
57,423.50,3,0.199829,0.0000,0.030200,0
58,422.57,3,0.100177,0.0000,0.027100,0
59,422.50,3,0.060381,0.0000,0.027700,0
60,421.50,17,0.050013,0.0000,0.045700,0
61,420.51,17,0.039318,0.0000,0.040500,0
62,419.91,17,0.016480,0.0000,0.041600,0
63,419.58,17,0.025021,0.0000,0.044800,0
64,419.05,17,0.019969,0.0000,0.045000,0
65,418.05,3,0.060208,0.0000,0.028100,0
66,417.59,3,0.064524,0.0000,0.031800,0
67,417.06,3,0.078745,0.0000,0.029300,0
68,416.46,3,0.097445,0.0000,0.028500,0
69,415.53,3,0.124132,0.0000,0.023300,0
70,414.73,3,0.141917,0.0000,0.025600,0
71,412.14,3,0.158352,0.0000,0.029300,0
72,411.75,3,0.171028,0.0000,0.027800,0
73,411.15,3,0.186005,0.0000,0.028400,0
74,410.75,3,0.200003,0.0000,0.028100,0
75,409.82,3,0.213197,0.0000,0.027800,0
76,408.69,3,0.224693,0.0000,0.028600,0
77,408.09,3,0.230727,0.0000,0.027800,0
78,407.16,3,0.235294,0.0000,0.024200,0
79,407.10,3,0.239956,0.0000,0.029700,0
80,406.10,3,0.243239,0.0000,0.029100,0
81,405.84,3,0.244131,0.0000,0.028800,0
82,405.11,3,0.241626,0.0000,0.027300,0
83,404.18,3,0.232990,0.0000,0.026000,0
84,404.04,3,0.216021,0.0000,0.027400,0
85,403.11,3,0.188261,0.0000,0.025500,0
86,402.25,3,0.151937,0.0000,0.027700,0
87,401.32,3,0.097364,0.0000,0.028200,0
88,401.06,17,0.035627,0.0000,0.045200,0
89,400.46,17,0.005535,0.0000,0.043500,0
90,399.93,17,0.048810,0.0000,0.046500,0
91,399.07,17,0.105385,0.0000,0.048000,0
92,398.93,17,0.151396,0.0000,0.044800,0
93,398.14,9,0.199664,0.0000,0.097900,0
94,397.21,9,0.237988,0.0000,0.091200,0
95,397.14,9,0.267242,0.2000,0.089500,0
96,396.08,9,0.266094,0.0000,0.091900,0
97,395.88,9,0.261781,0.0000,0.094000,0
98,395.41,9,0.252528,0.0000,0.093300,0
99,394.15,9,0.247611,0.0000,0.097400,0
100,394.09,9,0.234737,0.0000,0.094700,0
101,393.16,9,0.215438,0.0000,0.095100,0
102,392.96,9,0.187429,0.0000,0.093100,0
103,392.09,17,0.162689,0.0000,0.043500,0
104,391.17,17,0.129291,0.0000,0.047100,0
105,390.10,17,0.100441,0.0000,0.046700,0
106,390.04,17,0.072057,0.0000,0.045900,0
107,389.11,17,0.049266,0.0000,0.046300,0
108,388.51,17,0.021637,0.0000,0.045300,0
109,388.18,17,0.004043,0.0000,0.044700,0
110,387.18,17,0.024962,0.0000,0.043300,0
111,387.12,17,0.046945,0.0000,0.043800,0
112,386.12,3,0.085596,0.0000,0.027900,0
113,386.05,3,0.106517,0.0000,0.029700,0
114,385.12,3,0.116695,0.0000,0.026000,0
115,384.19,3,0.130327,0.0000,0.026800,0
116,384.13,3,0.153417,0.0000,0.028700,0
117,383.20,3,0.157923,0.0000,0.028600,0
118,382.14,3,0.153977,0.0000,0.025800,0
119,381.14,3,0.136514,0.0000,0.030300,0
120,380.54,3,0.163756,0.0000,0.028000,0
121,380.15,3,0.150187,0.0000,0.027600,0
122,379.48,3,0.131604,0.0000,0.028700,0
123,379.15,3,0.113063,0.0000,0.028800,0
124,378.22,3,0.098161,0.0000,0.026600,0
125,378.15,3,0.086489,0.0000,0.029500,0
126,377.36,3,0.082863,0.0000,0.029600,0
127,376.49,3,0.096636,0.0000,0.029400,0
128,376.23,3,0.115302,0.0000,0.027200,0
129,375.30,3,0.129751,0.0000,0.027200,0
130,374.30,3,0.181759,0.0000,0.028400,0
131,374.24,3,0.209716,0.0000,0.030200,0
132,373.51,3,0.218489,0.0000,0.028000,0
133,373.31,3,0.227330,0.0000,0.028600,0
134,372.25,3,0.234850,0.0000,0.025400,0
135,371.25,3,0.236360,0.0000,0.024200,0
136,370.92,3,0.231234,0.0000,0.028700,0
137,370.32,3,0.223076,0.0000,0.028100,0
138,369.79,3,0.210672,0.0000,0.030200,0
139,369.32,3,0.192019,0.0000,0.027000,0
140,368.53,3,0.227947,0.0000,0.029400,0
141,368.20,3,0.248789,0.0000,0.027600,0
142,367.40,3,0.249496,0.0000,0.028700,0
143,367.33,3,0.247196,0.0000,0.029200,0
144,366.34,3,0.239219,0.0000,0.029700,0
145,365.34,3,0.241270,0.0000,0.027400,0
146,364.54,3,0.239949,0.0000,0.027800,0
147,364.35,3,0.240680,0.0000,0.027700,0
148,363.42,3,0.233130,0.0000,0.029300,0
149,362.55,3,0.252003,0.0000,0.026800,0
150,362.29,3,0.264579,0.0000,0.026700,0
151,361.49,3,0.273873,0.0000,0.027000,0
152,361.29,3,0.279104,0.0000,0.029100,0
153,360.30,3,0.281181,0.0000,0.027100,0
154,359.43,3,0.278097,0.0000,0.028400,0
155,358.57,3,0.280351,0.0000,0.027200,0
156,358.44,3,0.278350,0.0000,0.029400,0
157,357.51,3,0.271555,0.0000,0.027800,0
158,357.37,3,0.257583,0.0000,0.028300,0
159,356.51,3,0.237766,0.0000,0.028500,0
160,355.58,3,0.242443,0.0000,0.029100,0
161,355.05,3,0.247650,0.0000,0.028800,0
162,354.52,3,0.254730,0.0000,0.031100,0
163,354.06,3,0.246293,0.0000,0.028000,0
164,353.19,3,0.220304,0.0000,0.026000,0
165,353.06,3,0.202960,0.0000,0.030400,0
166,352.06,3,0.185697,0.0000,0.026200,0
167,351.86,3,0.170212,0.0000,0.029500,0
168,351.60,3,0.162038,0.0000,0.026800,0
169,350.87,3,0.179221,0.0000,0.027800,0
