t,days_to_reentry,M2_cell,H_t,p_t,P_forward,artifact_flag
0,670.08,19,0.817737,0.0000,0.019100,0
1,669.42,19,0.757452,0.0000,0.019100,0
2,669.08,0,0.561154,0.0000,0.019700,0
3,668.42,3,0.259535,0.0000,0.027800,0
4,668.08,17,0.194071,0.0000,0.045400,0
5,667.75,5,0.581054,0.2000,0.159100,0
6,667.42,9,0.285383,0.0000,0.095000,0
7,667.08,5,0.546287,0.0000,0.159700,0
8,666.58,5,0.804845,0.0000,0.159500,0
9,666.08,11,1.005729,0.2000,0.232600,0
10,665.75,11,1.213114,0.0000,0.230100,0
11,665.17,11,1.249217,0.0000,0.222200,0
12,665.08,11,1.327197,0.2000,0.229300,0
13,664.42,11,1.361084,0.0000,0.240800,0
14,664.08,11,1.373102,0.0000,0.234300,0
15,663.42,11,1.228761,0.0000,0.229700,0
16,663.08,11,1.119386,0.0000,0.226900,0
17,662.50,11,0.986415,0.0000,0.231600,0
18,661.50,5,0.924495,0.0000,0.164700,0
19,661.42,5,0.875314,0.0000,0.158700,0
20,661.08,9,0.559923,0.0000,0.091600,0
21,661.00,9,0.293086,0.0000,0.091400,0
22,660.75,9,0.248069,0.0000,0.093100,0
23,660.42,9,0.206785,0.0000,0.095700,0
24,660.08,9,0.227204,0.0000,0.095500,0
25,659.75,9,0.274600,0.0000,0.096000,0
26,659.58,9,0.293410,0.0000,0.090700,0
27,659.50,9,0.325901,0.0000,0.095100,0
28,659.17,9,0.382787,0.0000,0.091700,0
29,658.83,9,0.403518,0.0000,0.092600,0
30,658.67,9,0.437567,0.0000,0.096900,0
31,658.08,9,0.420803,0.0000,0.092900,0
32,657.83,9,0.442018,0.0000,0.092800,0
33,657.42,9,0.455938,0.0000,0.093200,0
34,657.08,9,0.472372,0.0000,0.097200,0
35,656.75,9,0.476294,0.0000,0.090900,0
36,656.17,9,0.464831,0.0000,0.095900,0
37,656.08,9,0.437855,0.0000,0.099000,0
38,655.75,9,0.441969,0.2000,0.095200,0
39,655.42,9,0.440579,0.0000,0.092900,0
40,655.08,9,0.424010,0.0000,0.091400,0
41,654.75,9,0.433732,0.0000,0.094600,0
42,654.42,9,0.440174,0.0000,0.091200,0
43,654.08,9,0.405129,0.2000,0.096900,0
44,653.42,9,0.400388,0.0000,0.095900,0
45,653.08,9,0.405857,0.0000,0.097700,0
46,652.83,9,0.403439,0.0000,0.095200,0
47,652.17,9,0.381155,0.0000,0.095400,0
