dataset,method,f1,precision,recall,v1_sep,v2_rho
FD001,contrastive,0.8571428571428571,0.8108108108108109,0.9090909090909091,3.0867536,0.8137484201369725
FD002,contrastive,0.5176470588235293,0.3492063492063492,1.0,1.8369951,0.7291558009484949
FD003,contrastive,0.7868852459016394,0.75,0.8275862068965517,2.851705,0.7260084793765407
FD004,contrastive,0.5047318611987381,0.33755274261603374,1.0,1.8514673,0.7110367976694077
