Method,F1,Precision,Recall,TP,FP,FN,TN,V1_separation,V2_rho,Notes
STTS (this paper),0.914,0.865,0.97,32,5,1,62,2.5,0.816,"Window=30, Basin=25, K=5, no projection, uniform weights"
TSBP (Wang 2008),0.903,0.966,0.848,28,1,5,66,,,"Window=30, top-k=5, smooth=5, Euclidean distance on raw sensors"
