dataset,fit,held_out,f1,precision,recall,tp,fp,fn
FD002,FD001+FD003,True,0.8804347826086957,0.84375,0.9204545454545454,81,15,7
FD004,FD001+FD003,True,0.8834355828220859,0.8674698795180723,0.9,72,11,8
FD001,FD002+FD004,True,0.96875,1.0,0.9393939393939394,31,0,2
FD003,FD002+FD004,True,0.9152542372881356,0.9,0.9310344827586207,27,3,2
