dataset,method,f1,precision,recall,tp,fp,fn,v1_separation,v2_rho
FD001,STTS,0.9142857142857143,0.8648648648648649,0.9696969696969697,32,5,1,2.5276601314544678,0.8158558989485148
FD001,TSBP,0.9032258064516129,0.9655172413793104,0.8484848484848485,28,1,5,,
FD002,STTS,0.603921568627451,0.46107784431137727,0.875,77,90,11,2.2785768508911133,0.7550214222057131
FD002,TSBP,0.8982035928143712,0.9493670886075949,0.8522727272727273,75,4,13,,
FD003,STTS,0.8135593220338982,0.8,0.8275862068965517,24,6,5,2.577378749847412,0.7431255872137607
FD003,TSBP,0.823529411764706,0.9545454545454546,0.7241379310344828,21,1,8,,
FD004,STTS,0.6787330316742082,0.5319148936170213,0.9375,75,66,5,2.249177932739258,0.6978145890205711
FD004,TSBP,0.8571428571428571,0.9402985074626866,0.7875,63,4,17,,
