dataset,fit_source,v1_sep,v1_p,v2_rho,v2_p,f1,precision,recall,tsbp_f1,tsbp_precision,tsbp_recall,n_positive,n_negative,held_out
FD001,FD002+FD004,1462.6079,0.0,0.8559533946550243,0.0,0.96875,1.0,0.9393939393939394,0.9032258064516129,0.9655172413793104,0.8484848484848485,33,67,True
FD003,FD002+FD004,1597.0581,0.0,0.8224876593329111,0.0,0.9152542372881356,0.9,0.9310344827586207,0.823529411764706,0.9545454545454546,0.7241379310344828,29,71,True
FD002,FD001+FD003,2481.9148,0.0,0.7570095968231688,0.0,0.8756756756756756,0.8350515463917526,0.9204545454545454,0.8982035928143712,0.9493670886075949,0.8522727272727273,88,165,True
FD004,FD001+FD003,6556.902,0.0,0.8053509775495896,0.0,0.88,0.8105263157894737,0.9625,0.8571428571428571,0.9402985074626866,0.7875,80,157,True
